,feature_469,feature_130,feature_60,feature_34,feature_478,feature_461
0,0.0,0.0,0.6991000000000002,8.6915,6.0266,14.755400000000002
1,0.0,0.2837999999999999,-1.4172999999999998,8.3006,4.8218,12.157
2,50.60840000000001,-0.2837999999999999,10.2355,8.7418,6.158899999999999,21.1169
3,63.44010000000001,0.04729999999999975,9.8518,8.6829,5.0612,41.7748
4,432.45379999999994,0.4258000000000001,1.033600000000001,8.5891,7.4828,23.145699999999998
5,300.1976,1.6550000000000002,3.6808999999999985,9.0744,4.181300000000001,37.3638
6,160.8021,0.0,2.8108999999999997,8.9132,5.9339,31.317399999999996
7,273.3374,2.4579999999999997,1.5036,8.3383,3.5466000000000006,23.564899999999998
8,21.3645,-0.1891999999999997,0.9493337052041905,8.659,9.1221,32.3594
9,285.65748097864923,-0.14189999999999994,1.5745000000000002,8.7512,3.3971,15.4796
10,234.2751,0.5203999999999996,2.928199999999999,9.534,4.7353,13.0192
11,75.6489,-0.5677000000000001,5.499100000000002,8.5288,5.268599999999999,27.419400000000003
12,528.6233,0.0,-2.5027,8.1605,6.8676,33.2053
13,0.0,-0.9461000000000002,0.3400000000000003,8.8043,7.0359,30.5482
14,306.3018,-0.4258000000000001,4.169099999999999,8.7556,6.8146,24.0618
15,148.1283,-3.4960000000000004,-3.74,8.5571,2.7876000000000003,55.391
16,101.52445574510644,0.0,2.533625734360973,9.131,5.744320480493408,44.9213
17,684.2277,0.0,1.9482000000000006,8.5687,9.1675,20.7031
18,217.05360000000002,-0.7568999999999998,8.145499999999998,8.7187,3.4324,25.4407
19,75.2706,-0.14189999999999994,4.9555,8.441,9.9444,14.845299999999998
20,83.4768,-0.3784000000000001,9.1882,9.5642,5.9269,26.160999999999998
21,722.3947,1.0399999999999998,2.2855000000000003,8.6706,10.1458,16.8406
22,0.0,-0.9461000000000002,0.6191000000000005,8.7867,7.557099999999999,28.830399999999997
23,220.47989999999996,-3.449,-3.750900000000001,8.8581,3.369,21.7993
24,129.6872,0.7096,4.9118,8.8624,4.8707,36.519
25,0.0,-0.4258000000000001,0.1200000000000002,8.6397,5.817,31.398700000000005
26,423.1616,0.23650000000000015,1.8172999999999995,9.5713,3.4949,37.98977790117197
27,138.5742,-0.8042000000000002,2.792700000000001,8.2345,3.9522,19.1756
28,162.4892,-0.4730999999999999,2.1108999999999987,9.1502,8.8016,23.6929
29,184.7692,-2.553,-4.4109,8.6544,3.706,32.6596
30,141.1321,-0.3310999999999997,8.9136,8.804451816273097,7.1799,53.5488
31,344.8336,-1.655,-2.076399999999999,8.5891,6.11,33.3826
32,0.0,0.04729999999999975,0.5518000000000002,8.287,6.0246,56.318000000000005
33,744.3689,-2.222,-0.9363999999999998,8.5851,2.9235,22.4105
34,110.2497,0.0,5.2063999999999995,8.572,4.0558,18.8183
35,426.13309999999996,-0.5203999999999996,1.2835999999999999,9.7836,6.015901559650141,14.2191
36,638.2593,0.0,1.0027000000000013,8.9132,7.1443,28.108100000000004
37,306.4339,-0.5203999999999996,-2.6564,9.0447,2.3646,18.1961
38,0.0,-2.93,-0.06360000000000075,8.9191,10.0705,46.5021
39,81.4246,0.7568999999999998,3.9054999999999986,9.2405,6.1617,29.5865
40,766.3087,0.6622999999999996,2.0318000000000014,8.7512,4.358200000000001,20.8576
41,37.4986,-0.04729999999999975,2.672383405737253,8.9336,5.7628,30.435600000000004
42,0.0,0.04729999999999975,-0.1544999999999997,8.8909,4.319,28.4535
43,0.0,-1.797,-0.3308999999999993,8.7635,3.2036,45.2399
44,107.9014,-0.23650000000000015,-5.718200000000001,9.1855,6.747999999999999,33.5223
45,125.2055,0.0,3.6499999999999986,9.0121,6.0536,30.783900000000003
46,30.847299999999997,-0.14189999999999994,1.7372713468531196,9.094,5.1949,53.855
47,233.91819999999998,0.23650000000000015,-5.6473,8.536,6.4204,45.946
48,213.15078776676177,1.4190000000000003,1.8608999999999998,8.8097,2.582,14.495000000000001
49,150.4654,-2.553,-4.492700000000001,8.58,4.579500000000001,22.1105
50,42.8736,-0.14189999999999994,0.8799818689572675,8.8287,5.1848,31.099
51,517.6471,-0.0946000000000002,1.607300000000001,8.7219,4.6249,25.3724
52,494.7746,0.8042000000000002,0.8872999999999999,8.4092,3.9097,47.8395
53,272.6968,-1.277,-2.7136000000000005,9.6515,6.014999999999999,21.568999999999996
54,133.7534,-0.04729999999999975,5.338199999999999,9.1784,6.0748,25.280799999999996
55,648.0289,-0.04729999999999975,1.6373,8.5987,6.026,35.497
56,178.169,-0.0946000000000002,2.9691000000000005,9.754,3.4708,16.6688
57,280.2316,0.14189999999999994,-1.0990999999999997,8.5855,6.1979,18.1084
58,218.1706,-0.9461000000000002,2.9517999999999995,8.7994,4.885700000000001,13.4574
59,82.5458,-0.04729999999999975,-10.37,8.5177,4.454400000000001,42.3395
60,0.0,-1.2290000000000003,1.3445000000000016,8.2395,3.9991,20.9694
61,698.7529,-1.4437249718146459,1.1664,8.1728,3.4878,37.7546
62,0.0,-2.033,0.18730000000000055,8.6544,3.4793000000000003,18.1433
63,0.0,-0.4258000000000001,0.48360000000000064,8.6397,3.9691,20.4401
64,454.5556,-1.986,4.080899999999998,8.322,3.2357,30.1043
65,18.1585,-0.4730999999999999,2.3221938915928604,9.2007,4.273200000000001,25.904999999999998
66,462.1718,-0.5677000000000001,1.2809000000000008,8.3331,4.392200000000001,26.564899999999998
67,0.0,-0.9461000000000002,0.5682000000000006,8.7994,7.684,10.8607
68,66.9512,0.5203999999999996,8.0955,9.5713,6.9474,46.4202
69,285.2792,1.6550000000000002,-1.969999999999999,9.088,2.8027,22.133399999999998
70,71.2423,-0.19648154265271953,-8.2255,8.8249,5.2293,35.7201
71,758.6667,-3.025,-0.75,8.6544,5.8268,43.5382
72,0.0,1.4190000000000003,0.1626999999999999,8.6472,3.2661999999999995,22.222099999999998
73,520.0832,-0.23650000000000015,-1.9555,8.88613508396143,7.154799999999999,20.3639
74,227.61279757138396,-1.088,-1.3018000000000003,8.7538,5.6613999999999995,8.6169
75,0.0,-0.0946000000000002,-0.01909999999999954,9.0425,6.4234,31.245299999999997
