,feature_1,feature_20,feature_22,feature_32,feature_34,feature_60,feature_103,feature_122,feature_130,feature_131,feature_248,feature_288,feature_342,feature_427,feature_520
0,3079.7700000000004,12.368599999999999,-4750.75,3.3618,8.6915,0.6991000000000013,0.08110000000000002,15.76,0.0,0.8202999999999999,0.0152,0.091,2.6546999999999996,1.3155000000000001,3.2924
1,3001.36,12.4959,-5410.75,3.3499999999999996,8.3006,-1.4172999999999996,-0.0346,15.76,0.2837999999999999,0.8291,0.023729642031572264,0.0899,2.0989,0.6593,5.126343331508952
2,3042.78,12.5553,-6456.75,4.6781,8.7418,10.235500000000002,-0.056299999999999996,15.65,-0.2837999999999999,0.5438,0.0345,0.0722,2.5012,1.5403,7.4392
3,3018.64,12.4469,-5775.0,3.4767,8.6829,9.8518,-0.0459,15.729999999999999,0.04729999999999975,0.8048,0.026622131669412297,0.1869,2.4329,1.6422000000000003,5.694324190903101
4,3020.29,12.4618,-6900.5,4.6303,8.5891,1.0336000000000014,0.011199999999999984,15.9,0.4258000000000001,0.7611000000000001,0.027041222152773096,0.1188,3.2653,0.8006000000000001,5.813563993194534
5,2964.69,12.549199999999999,-5546.0,3.3016000000000005,9.0744,3.6808999999999994,-0.005399999999999993,15.82,1.6550000000000002,0.8136999999999999,0.021886074977503844,0.23899999999999996,2.2442,0.7003999999999999,4.7388767140659
6,2940.74,12.412399999999998,-5408.750000000001,3.3186,8.9132,2.8108999999999997,-0.012199999999999994,15.76,0.0,0.8253,0.02414837627135715,0.11010000000000002,2.5551000000000004,1.4412,5.195778753405899
7,3043.08,12.5004,-5095.0,3.4786,8.3383,1.5036000000000012,0.06930000000000001,15.65,2.4579999999999997,0.8346,0.026978941014563336,0.163,2.0186,1.419,5.794919592187836
8,2932.61,12.5404,-5447.75,3.5986,8.659,0.7480855307468092,0.013399999999999985,15.9,-0.1891999999999997,0.8194000000000001,0.02845766921094927,0.1479,3.7662999999999998,1.8268,6.1327349184798825
9,3031.78,12.5582,-4958.0,3.2114,8.7512,1.5744999999999991,0.03649999999999999,15.92,-0.14189999999999994,0.8712,0.02261363092655949,0.0616,1.6033,0.9783000000000002,4.90248396986118
