,feature_1,feature_17,feature_20,feature_22,feature_34,feature_60,feature_65,feature_103,feature_104,feature_112,feature_116,feature_122,feature_131,feature_153,feature_154,feature_206,feature_248,feature_300,feature_320,feature_461,feature_511,feature_517,feature_588
0,3079.77,9.859,12.3686,-4750.75,8.6915,0.6991000000000002,19.3009,0.0811,-0.0095,232.90588,785.5426,15.759999999999998,0.8203,0.2848,0.012699999999999998,9.22,0.0152,0.0574,11.0518,14.755400000000002,84.9279,0.11190000000000001,0.0194
1,3001.36,10.671,12.495900000000002,-5410.75,8.3006,-1.4173000000000007,21.4173,-0.034600000000000006,-0.0163,232.26986,672.3211,15.759999999999998,0.8291,0.308,0.0065,7.3100000000000005,0.0312,0.0477,7.0269,12.157,25.2308,0.20806,0.0276
2,3042.78,9.8446,12.5553,-6456.749999999999,8.7418,10.235500000000004,9.7645,-0.05630000000000001,-0.0108,233.5146,751.7695,15.65,0.5438,0.2132,0.0148,8.8,0.0345,0.0335,10.8718,21.1169,46.2963,0.30742284673138665,0.028699999999999996
3,3018.64,10.5954,12.4469,-5775.0,8.6829,9.851799999999999,30.148200000000003,-0.0459,-0.003800000000000001,230.69788,705.2765,15.73,0.8048000000000001,0.6531,0.0159,7.7700000000000005,0.22883699377408898,0.0728,9.476,41.7748,114.2857,0.13532000000000002,0.0141
4,3020.29,9.4946,12.4618,-6900.499999999999,8.5891,1.0336000000000014,18.9664,0.011199999999999986,-0.0119,232.46562,719.8049,15.9,0.7611,0.3602,0.0078,11.06,0.017400000000000002,0.0374,10.0446,23.1457,36.28690000000001,0.20332000000000003,0.0114
5,2964.69,9.7899,12.5492,-5546.0,9.0744,3.680899999999999,16.3191,-0.005399999999999993,-0.011499999999999998,230.01785999999998,711.4945,15.82,0.8137,0.8524,0.006900000000000001,6.26,0.01968,0.0569,3.8933,37.3638,32.9718,0.12156,0.0251
6,2940.74,9.9299,12.412399999999998,-5408.75,8.9132,2.810900000000001,17.1891,-0.012199999999999997,-0.0093,231.1908,777.1425,15.759999999999998,0.8253,0.368,0.014,8.8,0.03056,0.0337,7.2259,31.3174,58.9023,0.236,0.0059
7,3043.08,9.8134,12.5004,-5095.0,8.3383,1.5035999999999998,18.4964,0.0693,-0.0136,232.3029,741.9427,15.65,0.8346,0.5468,0.013700000000000002,5.24,0.02586,0.0085,8.1627,23.564899999999998,51.3291,0.17934,0.0148
8,2932.61,9.3144,12.5404,-5447.75,8.659,23.8245,16.1755,0.013400000000000018,-0.0026,232.85936,718.5777,15.9,0.8194,0.4909,0.0177,13.3,0.1729,0.0583,6.1796999999999995,32.3594,143.13042927163903,0.22642000000000004,0.039606435566824
9,3031.78,10.2769,12.5582,-4958.0,8.7512,1.5745000000000011,18.4255,0.036499999999999984,-0.010199999999999999,233.7235,826.7217,15.92,0.8712,0.1965,0.009500000000000001,5.1,0.03376,0.0961,8.6833,15.4796,46.022,0.1989,0.0275
10,3028.08,9.4578,12.5967,-5345.25,9.534,2.928200000000001,17.0718,-0.03739999999999999,-0.0086,229.0942,681.0371,15.95,0.6778,0.7795,0.013,6.99,0.0549,0.0428,7.2602,13.0192,52.0231,0.13540000000000002,0.01
11,3003.82,10.832,12.4998,-5192.5,8.5288,5.499100000000002,14.500900000000001,-0.0166,-0.010500000000000002,230.8697,729.4385,15.94,0.6786,0.43090000000000006,0.015000000000000001,7.32,0.0217,0.0703,11.3343,27.4194,29.4537,0.22288,0.0226
12,2990.57,9.407,12.537300000000002,-6623.750000000002,8.1605,-2.5027000000000004,22.5027,0.0099,-0.0094,233.8565,801.3997,15.7,0.7048,0.3554,0.0153,9.689999999999998,0.02708,0.0216,4.2805,33.2053,143.13042927163903,0.11340000000000003,0.0121
13,2986.5,10.5436,12.484899999999998,-5416.0,8.8043,0.3400000000000013,19.66,-0.032300000000000016,-0.013,230.69414,722.202,15.960000000000003,0.7527,0.3693,0.0073,10.32,0.015300000000000001,0.0308,6.6974,30.548200000000005,54.6154,0.29557999999999995,0.0277
14,3219.75,9.5974,12.5914,-5187.25,8.7556,4.169099999999998,15.8309,-0.0867,-0.0121,234.1616,725.1428,15.82,0.6888,0.24559999999999998,0.0065,10.11,0.03328,0.0444,4.6509,24.061799999999998,39.6285,0.1759,0.0121
15,2913.4,9.6284,12.5488,-5153.75,8.5571,-3.74,23.74,-0.04,-0.0098,231.18174,762.0218,15.75,0.5638,0.4158,0.0082,4.12,0.03332,0.0171,8.643,55.391,34.7826,0.31532284673138666,0.0127
16,3018.8,10.3504,12.21949803477214,-5334.75,9.131,2.7292600000000005,17.27074,0.0,-0.0108,231.8164,735.5572,15.8,0.7865,0.2308,0.0057,10.209144377908048,0.06056,0.0341,8.7444,44.9213,42.3963,0.4215,0.0135
17,2942.41,9.778,12.6278,-5410.5,8.5687,1.9482000000000004,34.80729782443748,0.005200000000000003,-0.0072,231.26058,749.6408,15.77,0.8217,0.8118,0.0194,13.53,0.0167,0.042,9.9818,20.7031,91.9861,0.27794,0.0355
18,2848.46,10.1278,12.4716,-5233.75,8.7187,8.1455,11.8545,-0.0265,-0.0114,229.8595,798.0013,16.02,0.7403,0.249,0.006299999999999999,4.950000000000001,0.029980000000000003,0.0531,8.8329,25.4407,51.8112,0.2839,0.0159
19,3010.26,10.4363,12.4049,-4090.620481174927,8.441,4.955499999999997,15.0445,0.03700000000000001,-0.0097,232.28498,691.3175,15.59,0.6847,0.3,0.0196,14.74,0.0354,0.24250819530221143,6.369,14.8453,48.329,0.35586284673138663,0.022700000000000005
20,3033.29,10.0634,12.6278,-6363.0,9.5642,9.188200000000002,30.811800000000005,-0.008400000000000005,-0.0086,232.11084000000002,809.4099,15.83,0.7463,1.5097,0.0153,9.02,0.0202,0.030700000000000005,10.0419,26.161,45.152,0.18482,0.0142
21,2941.23,9.6635,12.58,-6257.500000000001,8.6706,2.285499999999999,17.7145,0.17964607507860741,-0.006199999999999999,233.79094,730.9317,15.65,0.657,0.3775,0.0146,14.91,0.026959999999999998,0.0281,6.602400000000001,16.8406,42.0202,0.21073999999999998,0.0189
22,3043.22,10.0466,12.484899999999998,-5607.25,8.7867,0.6190999999999985,19.3809,-0.04420000000000002,-0.008000000000000002,231.31114,742.3405,15.74,0.6893,0.8679,0.007200000000000001,11.18,0.0444,0.0522,6.268299999999999,28.8304,71.028,0.2551,0.0335
23,3021.61,9.3651,12.412399999999998,-5720.25,8.8581,-3.7509000000000006,23.7509,0.024400000000000012,-0.0086,230.5237,710.5846,15.73,0.5042,0.9898,0.0123,4.950000000000001,0.02392,0.0648,9.5407,21.7993,39.708,0.21842,0.02
24,3048.76,10.4536,12.512,-5122.5,8.8624,4.911799999999999,15.088200000000002,0.028599999999999987,-0.0114,233.3418,782.5507,15.75,0.8543000000000001,0.23779999999999998,0.0053,7.040000000000001,0.0196,0.0839,8.1451,36.519,30.837,0.6165142336569333,0.0113
25,2980.5660000000003,10.3503,12.4761,-5434.0,8.6397,0.11999999999999963,19.88,0.07760000000000002,-0.0092,230.96516,804.2368,15.87,0.7785,0.3507,0.0167,8.33,0.02402,0.0052,7.1292,31.398699999999998,64.3929,0.12106000000000001,0.005999999999999999
26,2943.9,10.4094,12.475300000000002,-6349.749999999999,9.5713,1.8173000000000006,18.1827,-0.07849999999999999,-0.016,231.3602,763.2943000000001,15.92,0.7287,0.3458,0.0211,5.14,0.0205,0.026,9.9673,66.62212494273155,50.7439,0.22703999999999996,0.0159
27,2965.41,9.8053,12.7051,-5419.75,8.2345,2.792700000000001,17.2073,0.019500000000000007,-0.0091,230.9354,815.9082000000001,15.87,0.7003,0.4482,0.0082,6.01,0.02284,0.0327,8.8706,19.1756,56.044,0.1122,0.021000000000000005
28,3030.27,9.999,12.4608,-6153.999999999999,9.1502,2.110900000000001,17.8891,0.022100000000000015,-0.004200000000000001,231.82894,806.2734000000002,15.83,0.7589,0.4136,0.0189,13.410000000000002,0.06766,0.0174,5.168499999999999,23.692899999999995,143.13042927163903,0.21354,0.0151
29,3035.89,9.3572,12.58,-5341.25,8.6544,-4.4109,24.4109,0.037100000000000015,-0.0101,230.123,730.2174,15.84,0.8014000000000001,0.5288,0.005999999999999999,5.5,0.02166,0.0642,6.767100000000001,32.6596,34.6535,0.1655,0.0181
30,2943.58,9.1952,12.5698,-5474.25,10.6376,8.913600000000002,31.0864,-0.0483,-0.003899999999999999,232.04962,737.8589,15.74,0.7681,0.3267,0.013100000000000002,10.22,0.1677,0.0503,6.1812,53.5488,93.9683,0.2225828467313867,0.0145
31,3006.39,9.4949,12.5218,-6305.249999999999,8.5891,-2.0764,22.0764,-0.0574,-0.014099999999999998,233.37171999999998,755.3514,15.93,0.7591,0.3763,0.0047,9.35,0.0162,0.0411,8.1083,33.3826,33.2449,0.13268,0.0102
32,3007.75,9.8632,12.5488,-5639.75,8.287,0.5518,19.4482,0.01740000000000002,-0.0123,231.62078,782.4785,15.77,0.6423,0.4764999999999999,0.0091,8.84,0.0225,0.0433,8.6604,56.318,44.8065,0.23967999999999998,0.0139
33,2936.51,9.9457,12.4059,-5977.25,8.5851,-0.9363999999999995,20.9364,0.0336,-0.0158,230.0787,682.5904,15.79,0.7822,0.2558,0.009,4.38,0.029680000000000005,0.059,7.3995,22.4105,25.3365,0.08589999999999999,0.0093
34,3021.83,10.6553,12.4349,-5466.75,8.572,5.2063999999999995,14.7936,0.0,-0.010199999999999999,231.1416,744.1374000000001,15.9,0.8536,0.507,0.0122,5.7,0.018,0.0742,8.0433,18.8183,37.3464,0.3414,0.0184
35,3033.29,10.5538,12.4998,-6279.000000000001,9.7836,1.2836000000000007,18.7164,-0.060399999999999995,-0.012,231.18547999999998,702.0668,15.95,0.7232,0.451,0.010000000000000004,18.96,0.029300000000000003,0.0276,11.4268,14.2191,28.3333,0.18326,0.0189
36,3230.7290235088244,9.9621,12.56,-5477.0,8.9132,1.0027000000000008,18.9973,-0.015500000000000003,-0.0139,230.6949,768.3565,15.759999999999998,0.8253,0.3362,0.0053,10.4,0.03504,0.0483,10.3712,28.1081,38.9189,0.3331,0.0059
37,2951.06,9.8259,12.5967,-5371.5,9.0447,-2.6564000000000005,22.6564,-0.0435,-0.0083,229.6407,811.2656,15.74,0.7154,0.5614,0.011400000000000002,3.49,0.04488,0.0566,7.9876000000000005,18.1961,44.3778,0.0518,0.0183
38,2994.06,9.0234,12.2981,-5176.25,8.9191,-0.06360000000000128,20.0636,0.0,-0.0106,231.2142,827.0727,15.83,0.8145,1.1641,0.0083,15.35,0.04422,0.0095,7.5094,46.5021,55.9242,0.1396,0.0071
39,2955.3,9.1855,12.4247,-5641.25,9.2405,3.905499999999998,34.80729782443748,0.0,-0.006799999999999999,233.36686,759.1619,15.7,0.7860000000000001,0.321,0.014,8.66,0.0182,0.0532,5.9098999999999995,29.586500000000004,61.7647,0.20694,0.0379
40,2996.65,10.2747,12.649,-5193.25,8.7512,2.031799999999999,17.9682,0.03889999999999999,-0.0101,229.5449,791.9736,15.74,0.8781,0.2515,0.0053,6.37,0.02408,0.0574,9.0252,20.8576,23.7037,0.6165142336569333,0.0106
41,2988.99,10.215,12.423099999999998,-5369.0,8.9336,17.387299999999996,22.6127,0.038500000000000006,-0.0078,233.3383,735.4067,15.98,0.6287,3.4114,0.0123,8.26,0.0332,0.049,5.7219999999999995,30.4356,69.6774,0.0946,0.039606435566824
42,3054.52,10.001,12.6122,-5770.75,8.8909,-0.15450000000000033,20.1545,0.006100000000000008,-0.0164,230.3738,787.916,15.82,0.8343,0.4462,0.0059,6.33,0.0219,0.0933,4.7959,28.4535,21.357700000000005,0.14240000000000005,0.0108
43,3221.21,10.115,12.551,-5658.25,8.7635,-0.3309000000000011,20.3309,-0.029000000000000005,-0.0118,231.2351,714.6349,15.8,0.5662,0.4148,0.012699999999999998,4.78,0.021759999999999998,0.0533,7.1902,45.2399,42.4178,0.10760000000000002,0.0078
44,2977.43,11.0543,12.4616,-5282.75,9.1855,-5.718200000000001,25.7182,0.037700000000000004,-0.0135,231.60142000000002,740.1718,15.87,0.8117,0.4452,0.0148,9.820000000000002,0.0196,0.0374,10.0673,33.5223,49.025099999999995,0.27602284673138666,0.0115
45,3017.87,9.703,12.5018,-5936.0,9.0121,3.6500000000000012,16.35,0.0685,-0.01,231.10362,745.5714,15.97,0.7987,0.4459,0.0065,9.02,0.019,0.0316,10.6621,30.7839,46.2312,0.22066000000000002,0.0106
46,2973.002,10.4161,12.5088,-5657.75,9.094,25.5127,14.487300000000001,-0.012400000000000007,-0.0044,232.27872,719.0445,15.7,0.6925,0.4607,0.0203,7.740000000000002,0.0641,0.0381,4.6159,53.855,77.27270000000001,0.30146569346277335,0.0102
47,3230.7290235088244,10.384,12.4661,-5226.5,8.536,-5.6472999999999995,25.6473,-0.0706,-0.0119,231.62848,839.7342000000001,15.79,0.6755,0.8525,0.0061,9.04,0.0455,0.0172,5.726,45.946,26.8344,0.12990000000000002,0.019099999999999995
48,3182.87,9.4151,12.6122,-5603.75,8.8097,1.8609000000000013,18.1391,0.014399999999999987,-0.0092,230.7053,759.6441,15.78,0.821,0.836,0.0058,3.85,0.0219,0.0456,9.7272,14.495,61.8725,0.1955,0.0326
49,3037.2,9.4495,12.498,-5508.5,8.58,-4.492699999999999,24.4927,0.037700000000000004,-0.01,231.7058,732.8971,15.84,0.8014000000000001,0.2898,0.0155,6.78,0.0162,0.0475,5.4373,22.1105,34.0852,0.2231,0.0096
50,3024.15,10.0974,12.6202,-6112.25,8.8287,17.400000000000002,22.6,0.06869999999999997,-0.0046,233.08169999999998,800.7351,15.75,0.7085,0.2544,0.0161,7.23,0.059300000000000005,0.0289,11.139,31.099,143.13042927163903,0.21085999999999996,0.019099999999999995
51,3004.71,10.4994,12.4706,-5422.0,8.7219,1.607299999999999,18.3927,0.08520000000000001,-0.011,232.63852,774.0379,16.0,0.7974999999999999,0.2336,0.0167,7.030000000000001,0.1811,0.0548,6.4445,25.372399999999992,43.7856,0.1371,0.0149
52,2894.04,8.876,12.4616,-6280.749999999999,8.4092,0.8873000000000012,19.1127,-0.086,-0.005,232.39434,670.0627,15.82,0.6518,3.7461,0.0058,5.71,0.051300000000000005,0.0401,9.7086,47.8395,60.3015,0.16046,0.0106
53,2997.45,10.055,12.6012,-5425.5,9.6515,-2.713599999999999,22.7136,0.02309999999999999,-0.0129,231.6601,743.0757,15.87,0.7223,0.5468,0.0065,9.09,0.1009673987548178,0.0677,4.3255,21.569,16.3107,0.0947,0.0203
54,2950.0,10.6526,12.474299999999998,-4090.620481174927,9.1784,5.338200000000002,34.6618,0.03269999999999999,-0.004200000000000001,231.82587999999998,779.8,15.72,0.7304,1.4114,0.011899999999999999,9.26,0.0507,0.24250819530221143,10.6706,25.2808,56.4706,0.23332000000000006,0.0218
