,feature_1,feature_18,feature_20,feature_22,feature_29,feature_34,feature_42,feature_60,feature_92,feature_103,feature_104,feature_116,feature_122,feature_130,feature_131,feature_206,feature_248,feature_288,feature_317,feature_320,feature_337,feature_461,feature_524,feature_588
0,3079.7700000000004,0.9663,12.368599999999999,-4750.75,66.4,8.6915,2.2130000000000005,0.6991000000000009,-0.1835,0.08110000000000002,-0.0095,785.5426,15.76,0.0,0.8202999999999999,9.22,0.0152,0.09099999999999998,6.9408,11.051800000000002,10.0329,14.755400000000002,0.04630000000000001,0.0194
1,3001.36,0.9808,12.4959,-5410.75,75.8111,8.3006,3.147,-1.4172999999999996,0.016700000000000027,-0.0346,-0.0163,672.3211,15.76,0.2837999999999999,0.8291,7.31,0.0235561367395759,0.0899,5.4323,7.0269,9.791181877418346,12.157,0.07980000000000001,0.0276
2,3042.78,0.959,12.5553,-6456.75,71.3111,8.7418,2.508,10.235499999999998,-0.03160000000000001,-0.056299999999999996,-0.0108,751.7695,15.65,-0.2837999999999999,0.5438,8.8,0.0345,0.0722,5.0133,10.8718,11.0695,21.1169,0.08992947248359281,0.0287
3,3018.64,0.969,12.4469,-5775.0,70.0556,8.6829,4.97,9.851799999999997,0.010499999999999982,-0.0459,-0.0037999999999999996,705.2765,15.729999999999999,0.04729999999999975,0.8048,7.77,0.02808148392654238,0.1869,5.823899999999999,9.476,8.0615,41.7748,0.0728,0.014100000000000001
4,3020.29,0.9728,12.4618,-6900.5,67.0222,8.5891,2.9150000000000005,1.0336000000000012,-0.028700000000000014,0.011199999999999984,-0.0119,719.8049,15.9,0.4258000000000001,0.7611000000000001,11.06,0.02891065887864577,0.1188,6.5621,10.0446,10.0529,23.145699999999998,0.1064,0.0114
5,2964.69,0.9789,12.549199999999999,-5546.0,70.4,9.0744,2.3080000000000003,3.680899999999999,0.03519999999999999,-0.005399999999999993,-0.0115,711.4945,15.82,1.6550000000000002,0.8136999999999999,6.26,0.019228389314402468,0.239,7.285000000000001,3.8933000000000004,7.910100000000001,37.3638,0.1433,0.0251
6,2940.74,0.9716,12.412399999999998,-5408.750000000001,73.9778,8.9132,2.5440000000000005,2.8109,-0.023099999999999992,-0.012199999999999994,-0.0093,777.1425,15.76,0.0,0.8253,8.8,0.02973282261897598,0.1101,6.1564,7.225899999999999,9.565,31.317399999999996,0.0992,0.0059
7,3043.08,0.9676,12.5004,-5095.0,69.4222,8.3383,3.409,1.5035999999999994,-0.1509,0.06930000000000001,-0.0136,741.9427,15.65,2.4579999999999997,0.8346,5.24,0.02167526512098501,0.163,5.4847,8.1627,7.560699999999999,23.564899999999998,0.09199999999999998,0.014800000000000002
8,2932.61,0.9674,12.5404,-5447.75,67.1333,8.659,5.434,1.7094681800827454,0.0553,0.013399999999999985,-0.0026,718.5777,15.9,-0.1891999999999997,0.8194000000000001,13.3,0.03407039488019709,0.1479,5.7247,6.1797,8.9855,32.3594,0.0751,0.01794129245659633
9,3031.78,0.9752,12.5582,-4958.0,72.4889,8.7512,2.5860000000000003,1.5745000000000002,-0.038300000000000015,0.03649999999999999,-0.0102,826.7217,15.92,-0.14189999999999994,0.8712,5.1,0.028684382673440964,0.0616,6.3127,8.6833,11.8301,15.4796,0.12280000000000003,0.0275
10,3028.08,0.971,12.5967,-5345.25,68.4333,9.534,2.305,2.928200000000001,0.019299999999999987,-0.03740000000000001,-0.0086,681.0371,15.95,0.5203999999999996,0.6778,6.990000000000001,0.020953478543553814,0.2194,5.4921,7.2602,8.5805,13.0192,0.1341971629793372,0.01
11,3003.82,0.9628,12.4998,-5192.5,67.5,8.5288,3.1820000000000004,5.499099999999999,-0.030100000000000005,-0.016599999999999993,-0.0105,729.4385,15.94,-0.5677000000000001,0.6786,7.32,0.0217,0.1281,6.5321,11.3343,11.094,27.419400000000003,0.09438862995971975,0.0226
12,2990.57,0.9675,12.537300000000002,-6623.75,70.5667,8.1605,2.759,-2.502700000000001,-0.1331,0.009900000000000003,-0.0094,801.3997,15.699999999999998,0.0,0.7048,9.69,0.033878177413157164,0.1273,8.5495,4.2805,10.1164,33.2053,0.09539999999999998,0.0121
13,2986.5,0.9708,12.4849,-5416.0,68.7333,8.8043,5.044,0.3400000000000002,-0.02720000000000001,-0.0323,-0.013,722.202,15.96,-0.9461000000000002,0.7527,10.32,0.0153,0.10749999999999998,5.2238,6.6974,11.13,30.5482,0.0918,0.0277
14,3035.4489435990417,0.9799,12.5914,-5187.25,68.0889,8.7556,4.194,4.169100000000001,0.04250000000000002,-0.0867,-0.0121,725.1428,15.82,-0.4258000000000001,0.6888,10.11,0.01997205360726675,0.0812,8.6883,4.6509,10.0258,24.0618,0.1061,0.0121
15,2913.4,0.9744,12.5488,-5153.750000000001,75.5556,8.5571,2.791,-3.7400000000000007,0.03299999999999998,-0.04000000000000001,-0.0098,762.0218,15.750000000000002,-3.4960000000000004,0.5638,4.12,0.029164685217149794,0.1219,6.265300000000001,8.643,10.0281,55.391,0.10052448390561922,0.012700000000000001
16,3018.8,0.9807,12.45221580401116,-5334.749999999999,69.5222,9.131,3.3120000000000007,1.990549214818866,0.0,0.0,-0.0108,735.5572,15.8,0.0,0.7865,9.432909717254601,0.02924860294736647,0.0711,5.5089,8.7444,8.182725526526541,44.9213,0.0837,0.013500000000000002
17,2942.41,0.9622,12.6278,-5410.500000000001,69.0111,8.5687,3.186,1.9482,0.01599999999999999,0.005199999999999995,-0.0072,749.6408,15.77,0.0,0.8217,13.53,0.0167,0.2159,5.8213,9.9818,10.2062,20.7031,0.0527,0.0355
18,2848.46,0.9781,12.4716,-5233.75,66.0111,8.7187,2.826,8.145499999999997,0.06359999999999999,-0.026499999999999996,-0.0114,798.0013,16.02,-0.7568999999999998,0.7403,4.95,0.029055361836406765,0.0834,5.7746,8.8329,12.8157,25.4407,0.10643580654107493,0.0159
