,feature_66,feature_349,feature_332,feature_442,feature_133,feature_478,feature_461,feature_283,feature_34,feature_124,feature_299,feature_342,feature_65,feature_22,feature_60,feature_164,feature_435,feature_206,feature_185
0,23.2216,0.0237,0.0791,0.9639,2.3766,6.0266,14.7554,0.0058,8.6915,15.83,0.0595,2.6547,19.3009,-4750.75,0.6991000000000014,0.128,9.9805,9.22,0.09979999999999999
1,27.2716,0.0272,0.1071,0.8427,2.3805,4.8218,12.157,0.0045,8.3006,15.750000000000002,0.0662,2.0989,21.4173,-5410.75,-1.4173000000000007,0.157,12.5349,7.31,0.0643
2,14.7061,0.0163,0.0852,0.9192999999999999,2.3244,6.1589,21.1169,0.0064,8.7418,15.69,0.0519,2.5012,9.7645,-6456.75,10.235500000000002,0.127,12.8413,8.8,0.1502
3,24.3057,0.0243,0.0817,1.1255,2.3401,7.4828,23.1457,0.0035,8.5891,15.94,0.0505,3.2653,18.9664,-6900.5,1.0335999999999996,0.108,11.1054,11.06,0.1415
4,22.2064,0.0245,0.0752,0.656,2.2864,5.9339,31.3174,0.0083,8.9132,15.79,0.0655,2.5551,17.1891,-5408.75,2.8109,0.149,11.5102,8.8,0.10809999999999999
5,25.309900000000003,0.0174,0.0863,0.9319999999999999,2.3080999999999996,3.5466,23.5649,0.006,8.3383,15.69,0.0867,2.0186,18.4964,-5095.0,1.5036000000000016,0.193,14.6852,5.24,0.0508
6,23.905,0.0339,0.0824,0.565,2.212,4.735299999999999,13.0192,0.0045,9.534,15.980000000000002,0.1099,2.4674,17.0718,-5345.25,2.9282000000000004,0.251,18.972,6.99,0.1443
7,32.7483,0.0198,0.0368,0.9174999999999999,2.2959,6.8676,33.2053,0.0083,8.1605,15.73,0.026599999999999995,3.1731,22.5027,-6623.75,-2.5026999999999995,0.064,5.9121999999999995,9.69,0.169
8,22.3647,0.0116,0.0929,0.7316,2.3322999999999996,7.0359,30.548200000000005,0.0032,8.8043,15.980000000000002,0.0486,3.2261,19.66,-5416.0,0.3399999999999987,0.115,8.9372,10.32,0.09379999999999998
9,22.3694,0.0225,0.0311,0.8531999999999998,2.2673999999999994,6.8146,24.0618,0.0026,8.7556,15.84,0.0607,3.0013,15.8309,-5187.25,4.169100000000004,0.138,10.0583,10.11,0.1579
10,27.24868,0.0148,0.0909,0.7139,2.2784,8.516219999999999,44.9213,0.0033,9.131,15.89,0.0536,3.4748,19.868380000000002,-5334.75,4.1316200000000025,0.112,8.919,12.532000000000002,0.1624
11,22.1659,0.0184,0.0622,0.9383,2.3499,9.9444,14.8453,0.0094,8.441,15.61,0.26139832709983857,4.0309,15.044500000000001,-3726.665583970241,4.955500000000002,0.5124155910554695,125.4346826501873,14.739999999999998,0.114
12,21.7095,0.0162,0.0954,0.5836,2.3146,10.1458,16.8406,0.0067,8.6706,15.7,0.0166,4.8332,17.7145,-6257.5,2.285500000000001,0.035,2.7861,14.909999999999998,0.1115
13,30.759299999999996,0.0209,0.1043,0.6373,2.272,3.369,21.7993,0.0052,8.8581,15.750000000000002,0.071,1.5593999999999997,23.7509,-5720.25,-3.750900000000001,0.168,13.1301,4.949999999999999,0.1628
14,27.287599999999998,0.0241,0.0883,0.9964999999999999,2.3121999999999994,5.816999999999999,31.398700000000005,0.0075,8.6397,15.87,0.0601,2.9003,19.88,-5434.0,0.12000000000000104,0.13,9.9237,8.33,0.10970000000000002
