,feature_15,feature_23,feature_34,feature_54,feature_57,feature_60,feature_64,feature_72,feature_74,feature_88,feature_112,feature_116,feature_118,feature_123,feature_133,feature_134,feature_144,feature_239,feature_335,feature_337,feature_361,feature_391,feature_425,feature_478,feature_563,feature_578,feature_581,feature_584,feature_589
0,6.8827,2713.25,8.6915,4.645,0.9202,0.6991000000000006,5.9553,90.61729999999999,479.78696589061497,0.9888,231.73516075331995,785.5426,59.266200000000005,2.9320000000000004,2.3766,1001.2553,0.0042,0.0081,0.099,10.0329,0.0007,0.9878,3.4551,6.0266,267.07,24.5741,0.0059,0.011,0.0059
1,12.701699999999999,2909.5000000000005,8.3006,4.553,0.9304,-1.4173,9.699,109.55329999999996,467.05706711377485,0.9881000000000001,231.7750833842754,672.3211,58.7063,3.703,2.3805,1002.2324,0.0059,0.0041,0.08910000000000001,13.2427,0.0007,0.5209,1.6049999999999998,4.821799999999999,250.084,7.8563,0.007246826186203154,0.0199,0.0081
2,6.4832,2909.75,8.7418,4.586,0.9247,10.235500000000004,13.0423,109.25379999999998,465.7885,0.9903,232.24517553433512,751.7695,55.8504,4.375,2.3244,989.4793,0.0029,0.005,0.24579999999999996,11.0695,0.0007,0.8375,4.4993,6.1589,264.272,14.6788,0.0033265101299979755,0.0114,0.0091
3,9.8316,3019.5,8.6829,4.599,0.9354,9.851800000000003,20.3227,112.0173,467.24462041433486,0.9866,231.0217452271144,705.2765,58.283100000000005,2.8800000000000003,2.3725,1001.4222,0.0044,0.0043,0.05330000000000001,8.0615,0.0005,0.7167,2.455,5.0611999999999995,262.2587930993737,12.0929,0.0037999999999999996,0.0101,0.0037999999999999996
4,9.8304,3063.25,8.5891,4.617,0.929,1.0335999999999999,9.9475,74.0842,466.3170538775717,0.9685,232.39435678539672,719.8049,58.026199999999996,3.3830000000000005,2.3401,1006.766,0.0042,0.0043,0.1348,10.0529,0.0022,0.6728,2.2014,7.4828,261.6014268024847,13.121,0.0029372181732279026,0.0147,0.0043
5,7.734399999999999,2687.75,9.0744,4.627,0.9227999999999998,3.680899999999999,7.534000000000001,158.48309999999998,467.26970000000006,0.9907999999999999,231.34911043398552,711.4945,60.9507,2.8399999999999994,2.2797,1008.4892,0.0043,0.0038,0.1102,7.9101,0.0003,0.8003,5.3008,4.1813,264.272,14.448,0.004136908762438288,0.0153,0.0097
6,8.5389,2785.0,8.9132,4.555,0.9318999999999998,2.810899999999999,10.918199999999999,96.2319,467.0967604297836,0.9918,231.1908,777.1425000000002,58.90760000000001,3.082,2.2864,1001.4682,0.0055,0.0055,0.08300000000000002,9.565,0.0003,0.5143,1.6839000000000002,5.9339,264.272,12.6982,0.004345114016797935,0.0233,0.0016999999999999997
7,7.963800000000001,2412.0,8.3383,4.604,0.9347,1.5035999999999998,8.766199999999998,99.30580000000002,465.0222,0.9925,231.60490973086104,741.9427,58.282000000000004,3.217,2.3080999999999996,992.8867,0.004,0.007,0.1343,7.560700000000001,0.0004,1.3295,3.0325,3.5465999999999998,264.272,11.4779,0.004658033827255471,0.0142,0.0054
8,9.5157,2701.75,8.659,4.490892885334042,0.9139,23.824500000000004,11.3019,84.7681,479.78696589061497,0.988,231.7942854363298,718.5777,58.48080000000001,2.882,2.2592,998.444,0.0038000000000000004,0.0062,0.2777,8.9855,0.0046,1.2356,2.0261,9.1221,267.064,9.2721,0.013578082474501853,0.0157,0.01282994962957345
9,9.885799999999998,2573.25,8.7512,4.513,0.9294999999999999,1.5745000000000013,8.4647,130.5133,468.46134719181026,0.9914,233.7235,826.7217000000002,59.9764,1.671,2.2877,1015.7622,0.0067,0.0047,0.09850000000000002,11.8301,0.0006,0.7389,1.624,3.3971,264.272,17.8379,0.0098,0.0138,0.0098
10,11.745699999999998,2529.0,9.534,4.621,0.9327000000000001,2.9282,9.5985,106.37400000000001,465.5035,0.9885000000000002,229.0942,681.0371,55.9011,4.269,2.212,1009.9953,0.004,0.0045,0.0978,8.5805,0.0013,0.7367,2.1436,4.735299999999999,272.796,17.0809,0.0019767055674559317,0.0154,0.0031
11,6.5965,2793.25,8.5288,4.588,0.9261000000000001,5.4990999999999985,11.979399999999998,97.7746,467.0915,0.9870999999999999,231.58782940177645,729.4385,56.4388,5.261000000000001,2.2773,1009.9188,0.0033,0.0031,0.1654,11.094,0.0008,0.7999,3.8455999999999997,5.2686,265.306,6.5829,0.009029560370751546,0.0169,0.0079
12,8.7335,2269.5,8.1605,4.63,0.9191000000000001,-2.5027,22.3227,149.312,465.1417413494204,0.9911,233.8565,801.3997,56.3776,4.04,2.2959,993.8988,0.004,0.009220359346837407,0.3298,10.116399999999999,0.0004,0.5944,2.5718,6.8676,270.44,17.5152,0.004,0.0117,0.004
13,9.5598,2591.5,8.8043,4.6,0.9314,0.3400000000000009,14.061999999999998,126.90369999999999,465.1035,0.9852,231.74016353769053,722.202,59.0911,3.523,2.3322999999999996,1010.1773,0.0031,0.007100000000000001,0.44329026625436607,11.13,0.0005,0.9486,2.8638,7.0359,251.61600000000004,10.3164,0.0083,0.0151,0.0083
14,7.4488,2438.5,8.7556,4.601,0.9185,4.1690999999999985,11.602299999999998,95.39340000000001,466.41990910263314,0.9878,234.1616,725.1428,59.67929999999999,4.029,2.2673999999999994,1006.0044,0.0028,0.0048,0.3623,10.0258,0.0003,1.0085,3.58,6.8145999999999995,256.842,12.6938,0.00425913080534801,0.0139,0.004
15,10.217199999999998,2570.25,8.5571,4.612,0.9336999999999999,-3.740000000000002,12.9827,146.6301,466.1712630979979,0.9658,231.80643141124395,762.0217999999999,56.778400000000005,6.355,2.2564,1013.7167,0.0046,0.0034,0.09820000000000001,10.0281,0.0011000000000000003,1.2897,2.0912,2.7876,258.924,37.83043529381285,0.0054084079882171995,0.0095,0.0035
16,4.7006,2654.0,9.131,4.646,0.9272,4.013616365207255,14.237095844931282,113.42042353532588,467.29823555377254,0.988,231.8164,735.5572,59.095800000000004,3.52,2.2784,997.3981,0.0037,0.0046,0.15514944116112703,9.207906175598751,0.0028,1.2084,2.6123,5.630003738333794,249.918,11.6852,0.007754579106531211,0.0125,0.0042
17,7.8206,2689.0,8.5687,4.623,0.9330999999999999,1.9481999999999986,16.3328,88.3704,466.07459095032823,0.9717,232.0798694927391,749.6408,57.49009999999999,3.067,2.3735000000000004,1003.61,0.0042,0.0066,0.1501,10.2062,0.0031,0.8379000000000001,3.4416,9.1675,261.168,10.3402,0.008926695458902498,0.0161,0.0099
18,4.802,2497.25,8.7187,4.575,0.9329,8.145499999999998,11.159299999999998,108.68929999999999,465.1411821204007,0.9929,229.8595,798.0013,55.30217167498311,4.25,2.1911,1013.4306,0.0031,0.0059,0.1758,12.8157,0.0004,1.7492,2.5084,3.4324,264.272,14.3055,0.0044,0.0154,0.0044
19,9.6462,1989.3395997972646,8.441,4.618,0.935,4.955499999999999,16.6,85.5716,466.9243,0.9702,231.29561892968934,691.3175,58.7458,4.44,2.3499,986.0991,0.0053,0.0047,0.08300000000000002,8.8046,0.0013,1.0225,2.2115,9.9444,269.366,16.6894,0.007153655214994947,0.013499999999999998,0.0071
20,7.3121,3018.0,9.5642,4.592,0.9348000000000001,9.1882,13.335399999999998,111.4585,462.32370000000003,0.9876999999999999,231.57788679250098,809.4099,59.8003,4.281,2.2928,1003.5358,0.0062,0.0039,0.10790000000000001,8.4756,0.0007,0.6628,3.5846,5.9269,262.68994874121665,9.641,0.0038083432788964255,0.028119031123689416,0.0046
21,11.1116,2595.75,8.6706,4.577,0.9294999999999999,2.285499999999999,10.901799999999998,24.8866,464.9001055870224,0.99,233.3409456018042,730.9317,59.54270000000001,4.406,2.3146,991.5424,0.0044,0.0026,0.28,13.5441,0.0004,0.9146,1.4151,10.1458,264.272,10.439,0.005172829698542186,0.0179,0.006
22,12.3683,2564.5,8.7867,4.6,0.9314,0.6191000000000005,12.712199999999998,116.44849999999998,462.2075,0.9895,230.90107182737918,742.3405,58.483700000000006,3.562,2.3386,994.2346000000001,0.0031,0.0057,0.44329026625436607,11.556899999999999,0.0005,1.0884,2.165,7.5571,251.03000000000003,10.3164,0.005451393547713006,0.0134,0.0115
23,10.983699999999999,2615.25,8.8581,4.569,0.9304,-3.750899999999999,14.734500000000002,117.9501,463.49270430292927,0.9878,231.61355785854485,710.5846,59.3419,5.97,2.272,998.8077,0.0031,0.0034,0.2026,9.953400000000002,0.0004,1.1093,3.4543000000000004,3.369,264.272,16.7005,0.004916251848434375,0.0123,0.007400000000000001
24,9.805699999999998,2541.5,8.8624,4.584,0.9314,4.9118,12.68,111.37779999999997,465.8133123161842,0.9896,233.3418,782.5507,57.1869,3.235,2.2802,998.0122,0.0033,0.0035,0.0764,9.5915,0.0006,0.5007,1.2061,4.870699999999999,264.272,10.5084,0.00550991704421868,0.012900000000000002,0.0037999999999999996
25,13.6262,2617.5,8.6397,4.668,0.9267000000000001,0.1199999999999987,11.549099999999997,99.9672,467.2523,0.9903,231.81544405225904,804.2368,58.6908,3.15,2.3121999999999994,1006.4593999999998,0.0053,0.0059,0.2963,9.1303,0.0005,1.1569,0.8581,5.817000000000001,263.02,9.9804,0.0023,0.0137,0.0023
