,feature_60,feature_478,feature_248,feature_125,feature_148,feature_442
0,0.6990999999999993,6.0266,0.0152,15.82,0.0173,0.9639
1,-1.417299999999999,4.8218,0.04936000000000001,15.73,0.014,0.8427
2,10.2355,6.1589,0.0345,15.689999999999998,0.0189,0.9192999999999999
3,9.851799999999999,5.061200000000001,0.053880000000000004,15.770000000000001,0.0267,0.7158
4,1.0336000000000007,7.482799999999999,0.027440000000000003,15.95,0.0106,1.1255
5,3.6809000000000007,4.1813,0.01918,15.75,0.0069,0.4782
6,2.8108999999999984,5.933900000000001,0.03496,15.7,0.0251,0.656
7,1.5036000000000005,3.5466,0.02136,15.61,0.0189,0.9319999999999999
8,23.8245,9.122099999999998,0.033740000000000006,15.95,0.0221,1.2771
9,1.5745000000000005,3.3971,0.0434,15.870000000000001,0.0132,0.5317
10,2.9282000000000017,4.7353,0.04664000000000001,16.01,0.0144,0.565
11,5.499100000000002,5.2686,0.0217,15.99,0.0214,0.9361
12,-2.502699999999999,6.867599999999999,0.03352,15.71,0.0241,0.9174999999999999
13,0.3400000000000007,7.0359,0.0153,15.95,0.0092,0.7316
14,4.169100000000001,6.8146,0.03336,15.79,0.008,0.8531999999999998
15,-3.7399999999999998,2.7876,0.0259,15.71,0.0159,0.7032
16,3.9687200000000047,6.45792,0.039819999999999994,15.84,0.0096,0.7139
17,1.9482000000000008,9.1675,0.0167,15.73,0.0262,0.8222
18,8.1455,3.4324000000000003,0.029960000000000004,16.07,0.0055,0.6144
19,4.9555,9.9444,0.0354,15.54,0.0286,0.9383
20,9.188200000000004,5.926900000000001,0.0202,15.92,0.0262,0.5593
21,2.2855000000000008,10.1458,0.02016,15.66,0.0203,0.5836
22,0.6190999999999992,7.557099999999999,0.0444,15.79,0.0102,0.78
23,-3.7509000000000006,3.369,0.02206,15.71,0.0157,0.6373
24,4.9117999999999995,4.8707,0.0196,15.73,0.0088,0.7655
25,0.11999999999999877,5.817,0.027139999999999997,15.84,0.0223,0.9964999999999999
26,1.817299999999999,3.4949,0.0205,15.99,0.0257,0.7928
27,2.792699999999998,3.9522,0.02312,15.870000000000001,0.0112,0.7233
28,2.110899999999999,8.801599999999999,0.04264,15.84,0.0246,0.6667
