,feature_60,feature_421,feature_133,feature_1,feature_349,feature_206,feature_124,feature_520,feature_442,feature_469,feature_34,feature_563,feature_332
0,0.6991000000000006,1.8087,2.3766,3079.77,0.0237,9.22,15.83,3.2924000000000007,0.9639,0.0,8.6915,267.07,0.07909999999999999
1,-1.4172999999999996,1.4549,2.3805,3001.36,0.0272,7.31,15.75,10.421005206277172,0.8427,0.0,8.3006,250.084,0.10709999999999999
2,10.235500000000004,1.988,2.3244,3042.78,0.0163,8.8,15.69,7.4392,0.9192999999999999,50.6084,8.7418,264.272,0.0852
3,9.8518,2.8063,2.3725,3018.64,0.03,7.769999999999999,15.81,6.274225341554373,0.7158,63.4401,8.6829,261.78600730952087,0.09849999999999999
4,1.033599999999999,1.0932,2.3401,3020.29,0.024299999999999995,11.06,15.94,7.544790409726932,1.1255,432.4538,8.5891,254.47771736539892,0.08169999999999998
5,3.6809,0.7021,2.2797,2964.69,0.0205,6.260000000000001,15.86,4.153101154604762,0.4782,300.1976,9.0744,264.272,0.0318
6,2.8108999999999993,2.6353999999999997,2.2864,2940.74,0.0245,8.8,15.79,7.056444286666044,0.656,160.8021,8.9132,264.272,0.0752
7,1.5035999999999994,1.9699,2.3080999999999996,3043.08,0.0174,5.24,15.69,4.192322439388759,0.9319999999999999,273.3374,8.3383,264.272,0.0863
8,23.824500000000004,2.2942999999999993,2.2592,2932.61,0.0105,13.3,15.94,36.9067,1.2771,21.3645,8.659,267.064,0.0243
9,1.5744999999999998,1.3589,2.2877,3031.78,0.021256765417382126,5.1,15.91,13.066229700713233,0.5317,317.3898688685088,8.7512,264.272,0.0975
10,2.9282,1.4902,2.212,3028.08,0.0339,6.990000000000001,15.98,10.443814055509016,0.565,234.27509999999998,9.534,272.796,0.0824
11,5.499100000000002,2.2458,2.2773,3003.82,0.0172,7.320000000000001,15.97,4.7135,0.9361,75.6489,8.5288,265.306,0.0807
12,-2.502700000000001,2.5141999999999998,2.2959,2990.57,0.0198,9.69,15.73,7.419396196872993,0.9174999999999999,528.6233,8.1605,270.44,0.0368
13,0.33999999999999975,0.9559000000000001,2.3322999999999996,2986.5,0.011599999999999997,10.32,15.98,3.3066,0.7316,0.0,8.8043,251.616,0.09289999999999998
14,4.1690999999999985,0.8172999999999999,2.2673999999999994,3219.75,0.0225,10.11,15.84,7.522068275473865,0.8531999999999998,306.3018,8.7556,256.842,0.0311
15,-3.7399999999999998,1.653,2.2564,2913.4,0.0236,4.12,15.81,5.485429453228069,0.7032,148.1283,8.5571,258.924,0.0892
16,3.369767390229217,0.9921,2.2784,3018.8,0.0148,9.028387898860254,15.89,15.382589804367065,0.7139,76.65580916826475,9.131,249.91799999999998,0.09089999999999998
17,1.9482,2.7501,2.3735000000000004,2942.41,0.0381,13.53,15.8,3.6093000000000006,0.8222,684.2277,8.5687,261.168,0.09399999999999999
18,8.145500000000002,0.5649,2.1911,2848.46,0.0253,4.95,16.1,6.424904510466672,0.6144,217.0536,8.7187,264.272,0.1011
19,4.955499999999999,3.0235,2.3499,3010.26,0.0184,14.74,15.61,7.752199999999999,0.9383,75.2706,8.441,269.366,0.0622
20,9.188199999999997,2.7521,2.2928,3033.29,0.014,9.02,15.91,4.346,0.5593,83.4768,9.5642,264.4251736136003,0.0968
21,2.2855000000000003,2.126,2.3146,2941.23,0.0162,14.91,15.7,4.295019151815801,0.5836,722.3947,8.6706,264.272,0.09539999999999998
22,0.6190999999999995,1.0582,2.3386,3043.22,0.0229,11.18,15.81,9.4653,0.78,0.0,8.7867,251.03,0.09289999999999998
23,-3.7509,1.6263999999999998,2.272,3021.61,0.0209,4.95,15.75,5.87279424377822,0.6373,220.4799,8.8581,264.272,0.1043
24,4.9118,0.9130999999999999,2.2802,3048.76,0.0154,7.04,15.8,4.1715,0.7655,129.6872,8.8624,264.272,0.08499999999999999
25,0.12000000000000023,2.3232,2.3121999999999994,3003.888262251139,0.0241,8.33,15.87,6.088079044269687,0.9964999999999999,0.0,8.6397,263.02,0.0883
26,1.8172999999999995,2.6912,2.2728,2943.9,0.0445,5.14,15.99,4.4127,0.7928,423.1616,9.5713,265.908,0.08479999999999999
27,2.792700000000001,1.1494,2.2474,2965.41,0.0245,6.01,15.92,3.2742302364621616,0.7233,138.5742,8.2345,253.314,0.09109999999999999
28,2.110899999999999,2.5678,2.3216,3030.27,0.0177,13.41,15.89,14.984260051096028,0.6667,162.4892,9.1502,264.86816854267613,0.07779999999999998
29,-4.410899999999999,0.8233000000000001,2.4241,3035.89,0.0199,5.5,15.88,5.545806275940935,0.6641,184.7692,8.6544,264.272,0.0842
30,8.913599999999999,1.9599,2.3684,2943.58,0.0373,10.22,15.77,36.3044,0.7584,141.1321,8.755884446679707,260.674,0.0224
31,-2.076400000000001,0.5995,2.2937,3006.39,0.0278,9.35,15.98,3.5726,1.1255,344.8336,8.5891,257.64100378834235,0.0652
