,feature_60,feature_478,feature_133,feature_349,feature_65,feature_435,feature_124,feature_34,feature_22,feature_118,feature_154,feature_442
0,0.6990999999999999,6.026599999999999,2.3766,0.0237,19.3009,9.9805,15.83,8.6915,-4750.75,59.266200000000005,0.0127,0.9639
1,-1.4172999999999987,4.8218,2.3805,0.0272,21.4173,12.5349,15.75,8.3006,-5410.75,58.706300000000006,0.0065,0.8427
2,1.0336000000000012,7.482800000000001,2.3401,0.0243,18.9664,11.1054,15.94,8.5891,-6900.5,58.02620000000001,0.0078000000000000005,1.1255
3,3.6809000000000016,4.1813,2.2797,0.0205,16.3191,4.3896,15.86,9.0744,-5546.0,60.9507,0.006899999999999999,0.4782
4,2.8108999999999997,5.9339,2.2864,0.0245,17.1891,11.5102,15.79,8.9132,-5408.75,58.9076,0.014,0.656
5,1.5035999999999998,3.5465999999999998,2.3080999999999996,0.0174,18.4964,14.6852,15.69,8.3383,-5095.0,58.282000000000004,0.0137,0.9319999999999999
6,2.9282000000000012,4.7353,2.212,0.0339,17.0718,18.972,15.98,9.534,-5345.25,55.90109999999999,0.013,0.565
7,-2.5026999999999995,6.8676,2.2959,0.0198,22.5027,5.9122,15.73,8.1605,-6623.750000000001,56.3776,0.0153,0.9174999999999999
8,0.3400000000000006,7.0359,2.3322999999999996,0.0116,19.66,8.9372,15.98,8.8043,-5416.0,59.0911,0.007299999999999999,0.7316
9,-3.740000000000001,2.7876,2.2564,0.0236,23.74,9.6358,15.81,8.5571,-5153.75,56.7784,0.0082,0.7032
10,2.2855,10.1458,2.3146,0.0162,17.7145,2.7861,15.7,8.6706,-6257.5,59.5427,0.014599999999999998,0.5836
11,-3.7508999999999997,3.369,2.272,0.020900000000000002,23.7509,13.1301,15.75,8.8581,-5720.25,59.3419,0.012299999999999998,0.6373
12,0.11999999999999988,5.816999999999999,2.3121999999999994,0.0241,19.88,9.9237,15.870000000000001,8.6397,-5434.0,58.690799999999996,0.0167,0.9964999999999999
13,2.7927000000000013,3.9522,2.2474,0.0245,17.2073,10.9953,15.920000000000002,8.2345,-5419.75,58.3601,0.0082,0.7233
14,-2.0764000000000005,6.11,2.2937,0.0278,22.0764,14.545500000000002,15.98,8.5891,-6305.25,59.064400000000006,0.0047,1.1255
15,0.5518000000000011,6.0246,2.2757,0.0273,19.4482,4.7256,15.86,8.287,-5639.75,55.44,0.0091,1.0541
16,-0.9363999999999989,2.9235,2.2658,0.017,20.9364,14.3617,15.769999999999998,8.5851,-5977.250000000001,58.2257,0.009,0.442
17,1.2835999999999992,12.159886140272093,2.2771,0.031900000000000005,18.7164,11.6714,16.01,9.7836,-6279.0,59.14880000000001,0.010000000000000002,0.6987
18,-2.656400000000001,2.3646,2.2434,0.0256,22.6564,19.2454,15.78,9.0447,-5371.5,58.8339,0.0114,0.7534
19,-0.06360000000000116,10.0705,2.2569,0.0253,20.0636,4.3531,15.84,8.9191,-5176.25,57.6451,0.0083,0.8858999999999999
