,feature_1,feature_20,feature_22,feature_34,feature_60,feature_104,feature_118,feature_122,feature_130,feature_131,feature_206,feature_349,feature_511
0,3079.77,12.3686,-4750.75,8.6915,0.6990999999999999,-0.0095,59.266200000000005,15.76,0.0,0.8203,9.22,0.0237,84.9279
1,3001.36,12.4959,-5410.75,8.3006,-1.4172999999999987,-0.0163,58.706300000000006,15.76,0.2837999999999999,0.8291,7.31,0.0272,25.2308
2,3042.78,12.5553,-6456.75,8.7418,10.235500000000002,-0.0108,55.8504,15.65,-0.2837999999999999,0.5438,8.8,0.0163,46.2963
3,3018.64,12.4469,-5775.0,8.6829,9.851800000000004,-0.0038000000000000004,58.28309999999999,15.73,0.04729999999999975,0.8048000000000001,7.77,0.030000000000000002,114.2857
4,3020.29,12.4618,-6900.5,8.5891,1.0336000000000012,-0.0119,58.02620000000001,15.9,0.4258000000000001,0.7611,11.06,0.0243,36.2869
5,2964.69,12.5492,-5546.0,9.0744,3.6809000000000016,-0.0115,60.9507,15.82,1.6550000000000002,0.8137,6.26,0.0205,32.9718
6,2940.74,12.4124,-5408.75,8.9132,2.8108999999999997,-0.0093,58.9076,15.76,0.0,0.8253,8.8,0.0245,58.9023
7,3043.08,12.5004,-5095.0,8.3383,1.5035999999999998,-0.0136,58.282000000000004,15.65,2.4579999999999997,0.8346,5.24,0.0174,51.3291
8,2932.61,12.5404,-5447.75,8.659,23.8245,-0.0026000000000000007,58.4808,15.9,-0.1891999999999997,0.8193999999999999,13.299999999999999,0.010499999999999999,134.09580822620637
9,3031.78,12.5582,-4958.0,8.7512,1.574500000000001,-0.0102,59.9764,15.92,-0.14189999999999994,0.8712,5.1,0.020879999999999996,46.022
10,3028.08,12.5967,-5345.25,9.534,2.9282000000000012,-0.0086,55.90109999999999,15.95,0.5203999999999996,0.6778,6.99,0.0339,52.0231
11,3003.82,12.4998,-5192.5,8.5288,5.499100000000001,-0.010500000000000002,56.4388,15.94,-0.5677000000000001,0.6786,7.32,0.0172,29.4537
12,2990.57,12.5373,-6623.750000000001,8.1605,-2.5026999999999995,-0.0094,56.3776,15.7,0.0,0.7048,9.69,0.0198,134.09580822620637
13,2986.5,12.4849,-5416.0,8.8043,0.3400000000000006,-0.013,59.0911,15.96,-0.9461000000000002,0.7527,10.32,0.0116,54.6154
14,3219.75,12.5914,-5187.25,8.7556,4.169100000000001,-0.0121,59.6793,15.82,-0.4258000000000001,0.6888,10.11,0.022499999999999996,39.6285
15,2913.4,12.5488,-5153.75,8.5571,-3.740000000000001,-0.0098,56.7784,15.750000000000002,-3.4960000000000004,0.5638,4.12,0.0236,34.7826
16,3018.8,12.275718747371474,-5334.75,9.131,2.2763599999999995,-0.0108,59.0958,15.8,0.0,0.7865,9.166249368130687,0.0148,42.3963
17,2942.41,12.6278,-5410.5,8.5687,1.9482000000000004,-0.0072,57.4901,15.77,0.0,0.8217,13.53,0.0381,91.9861
18,2848.46,12.4716,-5233.75,8.7187,8.145499999999998,-0.0114,55.35626633201477,16.02,-0.7568999999999998,0.7403,4.95,0.0253,51.8112
19,3010.26,12.4049,-4171.468130683397,8.441,4.955500000000001,-0.009700000000000002,58.7458,15.59,-0.14189999999999994,0.6847,14.739999999999998,0.0184,48.329
20,3033.29,12.6278,-6363.000000000001,9.5642,9.188199999999997,-0.0086,59.80030000000001,15.83,-0.3784000000000001,0.7463,9.02,0.014,45.15200000000001
21,2941.23,12.58,-6257.5,8.6706,2.2855,-0.0062,59.5427,15.65,1.0399999999999998,0.657,14.91,0.0162,42.0202
22,3043.22,12.4849,-5607.25,8.7867,0.619100000000001,-0.008,58.48369999999999,15.74,-0.9461000000000002,0.6893,11.18,0.0229,71.028
23,3021.61,12.4124,-5720.25,8.8581,-3.7508999999999997,-0.0086,59.3419,15.73,-3.449,0.5042,4.95,0.020900000000000002,39.708
24,3048.76,12.512,-5122.5,8.8624,4.9118,-0.0114,57.18690000000001,15.750000000000002,0.7096,0.8543,7.04,0.0154,30.836999999999996
25,2980.5660000000003,12.4761,-5434.0,8.6397,0.11999999999999988,-0.0092,58.690799999999996,15.869999999999997,-0.4258000000000001,0.7785,8.33,0.0241,64.3929
26,2943.9,12.4753,-6349.750000000001,9.5713,1.8172999999999992,-0.016,59.4203,15.92,0.23650000000000015,0.7287,5.14,0.0445,50.7439
27,2965.41,12.7051,-5419.75,8.2345,2.7927000000000013,-0.0091,58.3601,15.869999999999997,-0.8042000000000002,0.7003,6.01,0.0245,56.044
28,3030.27,12.4608,-6154.0,9.1502,2.110899999999999,-0.0042,58.823,15.83,-0.4730999999999999,0.7589,13.41,0.0177,134.09580822620637
