,feature_1,feature_12,feature_20,feature_22,feature_29,feature_34,feature_60,feature_92,feature_103,feature_104,feature_112,feature_116,feature_122,feature_130,feature_131,feature_153,feature_181,feature_206,feature_248,feature_347,feature_417,feature_461,feature_511,feature_588
0,3001.36,0.9649,12.4959,-5410.75,75.8111,8.3006,-1.4172999999999996,0.016700000000000027,-0.0346,-0.0163,231.07012598612977,672.3211,15.76,0.2837999999999999,0.8291,0.308,20.54,7.31,0.01704696123785775,3.114484583560037,4.810199999999998,12.157,25.2308,0.0276
1,3042.78,0.9486,12.5553,-6456.75,71.3111,8.7418,10.235499999999998,-0.03160000000000001,-0.056299999999999996,-0.0108,231.90910361995114,751.7695,15.65,-0.2837999999999999,0.5438,0.21320000000000003,15.43,8.8,0.0345,2.6398999999999995,2.3289,21.1169,46.2963,0.0287
2,3020.29,0.9679000000000001,12.4618,-6900.5,67.0222,8.5891,1.0335999999999994,-0.028700000000000014,0.011199999999999984,-0.0119,231.6993571778088,719.8049,15.9,0.4258000000000001,0.7611000000000001,0.3602,24.14,11.06,0.02892287306645252,3.087361509315819,3.4488,23.145699999999998,36.2869,0.0114
3,2964.69,0.9776,12.549199999999999,-5546.0,70.4,9.0744,3.6809,0.03519999999999999,-0.005399999999999993,-0.0115,230.7851630817822,711.4945,15.82,1.6550000000000002,0.8136999999999999,0.8524,20.23,6.26,0.019226303501004176,3.9157,3.5483,37.3638,32.9718,0.0251
4,3043.08,0.9596,12.5004,-5095.0,69.4222,8.3383,1.503600000000001,-0.1509,0.06930000000000001,-0.0136,232.40121439763084,741.9427,15.65,2.4579999999999997,0.8346,0.5468000000000002,18.92,5.24,0.022443885795475373,1.5642,3.2594999999999996,23.564899999999998,51.3291,0.014800000000000002
5,3028.08,0.9694,12.5967,-5345.25,68.4333,9.534,2.928200000000001,0.019299999999999987,-0.03740000000000001,-0.0086,229.0942,681.0371,15.95,0.5203999999999996,0.6778,0.7795,18.17,6.990000000000001,0.02737940358585753,2.9994,3.234,13.0192,52.0231,0.01
6,2990.57,0.9603,12.537300000000002,-6623.75,70.5667,8.1605,-2.5026999999999995,-0.1331,0.009900000000000003,-0.0094,233.8565,801.3997,15.699999999999998,0.0,0.7048,0.3554,24.36,9.69,0.033536602113378285,2.97482759076728,3.2298,33.2053,45.437691897341615,0.0121
7,2913.4,0.9594,12.5488,-5153.750000000001,75.5556,8.5571,-3.7399999999999993,0.03299999999999998,-0.04000000000000001,-0.0098,231.84322911553824,762.0218,15.750000000000002,-3.4960000000000004,0.5638,0.41580000000000006,24.43,4.12,0.029175243701357316,2.918472535289955,3.8732,55.391,34.7826,0.012700000000000001
8,3018.8,0.9671,12.45210982961097,-5334.749999999999,69.5222,9.131,2.482673980238289,0.0,0.0,-0.0108,231.8164,735.5572,15.8,0.0,0.7865,0.23080000000000003,16.77,9.433574254539868,0.029259255637641476,3.388408557044591,3.0259,44.9213,42.3963,0.013500000000000002
9,3010.26,0.9451999999999999,12.4049,-6093.325556623244,72.8778,8.441,4.955499999999999,-0.08229999999999998,0.03700000000000001,-0.0097,231.72081288042133,691.3175,15.59,-0.14189999999999994,0.6847,0.3,17.67,14.740000000000002,0.0354,3.65,4.3082,14.845299999999998,48.329,0.0227
