,hyperparam,batch_size,epochs,activation,dropout_rate,neurons,train_cf_matrix,train_accuracy,train_f1,train_precision,train_recall,train_auc,train_log_loss,train_cohen_kappa_score,test_cf_matrix,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss,test_cohen_kappa_score
702,"{'batch_size': 500, 'epochs': 50, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 1.5}",500,50,softmax,0.5,1.5,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
703,"{'batch_size': 500, 'epochs': 50, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 2}",500,50,softmax,0.5,2.0,"[[ 106  652]
 [  53 1034]]",0.6178861788617886,0.7457627118644069,0.6132858837485172,0.9512419503219871,0.5455418194881703,13.198026393461527,0.10345590531154414,"[[ 39 254]
 [  1  20]]",0.18789808917197454,0.13559322033898305,0.072992700729927,0.9523809523809523,0.5427433772143669,28.04965311608119,0.012968122087719691
704,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 0.5}",500,50,relu,0.0,0.5,"[[320 438]
 [428 659]]",0.5306233062330623,0.6034798534798536,0.6007292616226071,0.6062557497700092,0.5142096690802552,16.211886494128496,0.028476190592009565,"[[135 158]
 [ 13   8]]",0.4554140127388535,0.0855614973262032,0.04819277108433735,0.38095238095238093,0.42085161709735086,18.809735987018147,-0.03764542186835684
705,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1}",500,50,relu,0.0,1.0,"[[389 369]
 [348 739]]",0.6113821138211382,0.6733485193621868,0.6669675090252708,0.6798528058877645,0.5965227090124838,13.4225461932806,0.1938581935339977,"[[137 156]
 [  7  14]]",0.48089171974522293,0.14659685863874344,0.08235294117647059,0.6666666666666666,0.5671217292377702,17.929762068692842,0.03126774425559298
706,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1.5}",500,50,relu,0.0,1.5,"[[457 301]
 [345 742]]",0.6498644986449864,0.6967136150234742,0.7114093959731543,0.6826126954921803,0.6427575350811825,12.093382238449209,0.2830287878496217,"[[172 121]
 [  8  13]]",0.589171974522293,0.16774193548387098,0.09701492537313433,0.6190476190476191,0.6030391678855843,14.189805433861565,0.058919195204683805
707,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 2}",500,50,relu,0.0,2.0,"[[358 400]
 [378 709]]",0.578319783197832,0.6457194899817851,0.6393146979260595,0.6522539098436062,0.5622747121777397,14.564492072743949,0.1250988934900351,"[[144 149]
 [ 10  11]]",0.49363057324840764,0.12154696132596686,0.06875,0.5238095238095238,0.5076385503006663,17.4897598305984,0.003751446701520722
708,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 0.5}",500,50,relu,0.1,0.5,"[[389 369]
 [229 858]]",0.675880758807588,0.7415730337078652,0.6992665036674817,0.7893284268629255,0.6512605195000644,11.194841916318879,0.3112199032108236,"[[134 159]
 [  3  18]]",0.4840764331210191,0.18181818181818182,0.1016949152542373,0.8571428571428571,0.6572403705509509,17.819773604990228,0.07070042749095695
709,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1}",500,50,relu,0.1,1.0,"[[373 385]
 [349 738]]",0.6021680216802168,0.6678733031674209,0.6571682991985752,0.6789328426862925,0.5855086377019852,13.740796595596242,0.1722553372517187,"[[144 149]
 [  4  17]]",0.5127388535031847,0.18181818181818182,0.10240963855421686,0.8095238095238095,0.6504956931578092,16.82978321158737,0.07158041201252285
710,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1.5}",500,50,relu,0.1,1.5,"[[628 130]
 [419 668]]",0.7024390243902439,0.7087533156498674,0.8370927318295739,0.6145354185832567,0.7215157303998078,10.277448340635173,0.4188636312782814,"[[216  77]
 [ 10  11]]",0.7229299363057324,0.2018348623853211,0.125,0.5238095238095238,0.6305054444986185,9.569857055284569,0.10520799213887977
711,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 2}",500,50,relu,0.1,2.0,"[[435 323]
 [247 840]]",0.6910569105691057,0.7466666666666666,0.7222699914015477,0.7727690892364305,0.673323858602384,10.670656268330104,0.35198855373876703,"[[153 140]
 [  8  13]]",0.5286624203821656,0.14942528735632182,0.08496732026143791,0.6190476190476191,0.570615959694458,16.279779777347162,0.0360506119062437
712,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 0.5}",500,50,relu,0.3,0.5,"[[410 348]
 [525 562]]",0.526829268292683,0.5628442663995994,0.6175824175824176,0.5170193192272309,0.5289582084262803,16.342888917432376,0.05593962927687024,"[[153 140]
 [ 10  11]]",0.5222929936305732,0.12790697674418605,0.0728476821192053,0.5238095238095238,0.5229969120754103,16.49977198368417,0.01187429194813916
713,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1}",500,50,relu,0.3,1.0,"[[672  86]
 [615 472]]",0.6200542005420054,0.5738601823708208,0.8458781362007168,0.43422263109475623,0.6603830833574045,13.122900280873381,0.29012482895913294,"[[254  39]
 [ 12   9]]",0.8375796178343949,0.26086956521739124,0.1875,0.42857142857142855,0.6477328132618235,5.60990057465039,0.18503816793893135
714,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1.5}",500,50,relu,0.3,1.5,"[[374 384]
 [230 857]]",0.6672086720867209,0.736254295532646,0.6905721192586624,0.7884084636614536,0.640906078796426,11.4943716812403,0.290751590570151,"[[133 160]
 [  6  15]]",0.4713375796178344,0.1530612244897959,0.08571428571428572,0.7142857142857143,0.5841053144807411,18.25976056415288,0.03819611027050962
715,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 2}",500,50,relu,0.3,2.0,"[[431 327]
 [244 843]]",0.6905149051490515,0.7470093043863536,0.7205128205128205,0.7755289788408464,0.6720652809771515,10.68937820588275,0.34992919223613694,"[[142 151]
 [  9  12]]",0.49044585987261147,0.13043478260869565,0.0736196319018405,0.5714285714285714,0.5280351048269136,17.599761026744165,0.013548007068525436
716,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 0.5}",500,50,relu,0.5,0.5,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
717,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 1}",500,50,relu,0.5,1.0,"[[ 758    0]
 [1087    0]]",0.41084010840108404,0.0,0.0,0.0,0.5,20.34886175678477,0.0,"[[293   0]
 [ 21   0]]",0.9331210191082803,0.0,0.0,0.0,0.5,2.3099181665386137,0.0
718,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 1.5}",500,50,relu,0.5,1.5,"[[513 245]
 [396 691]]",0.6525745257452574,0.6831438457736035,0.7382478632478633,0.6356945722171113,0.6562377874278169,11.999756948784903,0.3033310536054161,"[[193 100]
 [ 10  11]]",0.6496815286624203,0.16666666666666669,0.0990990990990991,0.5238095238095238,0.5912562977409395,12.09982599739871,0.06105583645952262
719,"{'batch_size': 500, 'epochs': 50, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 2}",500,50,relu,0.5,2.0,"[[518 240]
 [418 669]]",0.643360433604336,0.6703406813627255,0.735973597359736,0.6154553817847286,0.6494163452459263,12.317998249991586,0.28857736569517844,"[[192 101]
 [ 10  11]]",0.6464968152866242,0.16541353383458646,0.09821428571428571,0.5238095238095238,0.5895498130993011,12.209824647055846,0.059474337524960896
720,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 0.5}",500,100,linear,0.0,0.5,"[[459 299]
 [366 721]]",0.6395663956639567,0.6843853820598007,0.7068627450980393,0.6632934682612696,0.6344171826794475,12.449065247830479,0.2652857745960172,"[[173 120]
 [  9  12]]",0.589171974522293,0.1568627450980392,0.09090909090909091,0.5714285714285714,0.5809361287176986,14.189802887372934,0.04687279401383604
721,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1}",500,100,linear,0.0,1.0,"[[442 316]
 [364 723]]",0.6314363143631436,0.6801505174035747,0.6958614051973051,0.6651333946642134,0.6241234255642967,12.729875675516102,0.24589044554134076,"[[165 128]
 [  8  13]]",0.5668789808917197,0.16049382716049382,0.09219858156028368,0.6190476190476191,0.5910937753941167,14.959795981461525,0.049882080719084954
722,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 1.5}",500,100,linear,0.0,1.5,"[[455 303]
 [317 770]]",0.6639566395663956,0.7129629629629629,0.7176141658900279,0.7083716651333947,0.6543177586880694,11.606657801011368,0.3077752590320836,"[[169 124]
 [ 10  11]]",0.5732484076433121,0.14102564102564105,0.08148148148148149,0.5238095238095238,0.5503006663416219,14.739793589169986,0.02858198273075685
723,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0, 'neurons': 2}",500,100,linear,0.0,2.0,"[[570 188]
 [367 720]]",0.6991869918699187,0.7218045112781954,0.7929515418502202,0.6623735050597976,0.7071761984401891,10.389794701079841,0.4000555430889574,"[[207  86]
 [  7  14]]",0.7038216560509554,0.23140495867768596,0.14,0.6666666666666666,0.6865756541524459,10.229856592693283,0.13588210925016264
724,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 0.5}",500,100,linear,0.1,0.5,"[[467 291]
 [327 760]]",0.6650406504065041,0.7109448082319925,0.7231208372978116,0.6991720331186753,0.6576335099630316,11.569212192361512,0.3130172509362935,"[[171 122]
 [  8  13]]",0.5859872611464968,0.16666666666666666,0.0962962962962963,0.6190476190476191,0.6013326832439461,14.299804083518703,0.05757953548506267
725,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}",500,100,linear,0.1,1.0,"[[457 301]
 [267 820]]",0.6921409214092141,0.7427536231884057,0.7314897413024085,0.7543698252069917,0.6786360999385882,10.633206325818838,0.359713962067714,"[[157 136]
 [  9  12]]",0.5382165605095541,0.1420118343195266,0.08108108108108109,0.5714285714285714,0.553632374451487,15.94978128188712,0.02817502668089633
726,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}",500,100,linear,0.1,1.5,"[[349 409]
 [209 878]]",0.6650406504065041,0.7396798652064027,0.6822066822066822,0.8077276908923643,0.6340749272403774,11.569263331926152,0.2793023414567547,"[[129 164]
 [  6  15]]",0.4585987261146497,0.15,0.08379888268156424,0.7142857142857143,0.5772793759141883,18.699755162781425,0.034405412249918665
727,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}",500,100,linear,0.1,2.0,"[[467 291]
 [314 773]]",0.6720867208672087,0.7187354718735472,0.7265037593984962,0.7111315547378105,0.6636132707725992,11.325849540256451,0.32573080940089727,"[[180 113]
 [  8  13]]",0.6146496815286624,0.17687074829931973,0.10317460317460317,0.6190476190476191,0.6166910450186901,13.309816236604474,0.07027847110067043
728,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 0.5}",500,100,linear,0.3,0.5,"[[288 470]
 [361 726]]",0.5495934959349593,0.6360052562417872,0.6070234113712375,0.6678932842686293,0.5239202569100403,15.55669322220215,0.04890476671974675,"[[116 177]
 [  9  12]]",0.40764331210191085,0.11428571428571427,0.06349206349206349,0.5714285714285714,0.48366650414431983,20.45972591782972,-0.006930795489810793
729,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1}",500,100,linear,0.3,1.0,"[[473 285]
 [319 768]]",0.6726287262872629,0.7177570093457945,0.7293447293447294,0.7065317387304508,0.6652711464100803,11.307126735931522,0.32831367783793164,"[[174 119]
 [  8  13]]",0.5955414012738853,0.1699346405228758,0.09848484848484848,0.6190476190476191,0.6064521371688607,13.969808134547293,0.06164995999811762
730,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1.5}",500,100,linear,0.3,1.5,"[[486 272]
 [299 788]]",0.6905149051490515,0.7340475081509084,0.7433962264150943,0.7249310027598896,0.6830459763139818,10.689354369644994,0.3641291062455674,"[[175 118]
 [  9  12]]",0.5955414012738853,0.15894039735099338,0.09230769230769231,0.5714285714285714,0.5843490980009751,13.969805588058662,0.04948276683987218
731,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 2}",500,100,linear,0.3,2.0,"[[472 286]
 [295 792]]",0.6850948509485095,0.7316397228637412,0.7346938775510204,0.7286108555657773,0.6756510742208834,10.876562477131786,0.35067204651171247,"[[176 117]
 [  8  13]]",0.6019108280254777,0.17218543046357618,0.1,0.6190476190476191,0.6098651064521372,13.74981083523302,0.06445154216522853
732,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 0.5}",500,100,linear,0.5,0.5,"[[381 377]
 [347 740]]",0.6075880758807588,0.6715063520871144,0.6624888093106536,0.6807727690892365,0.5917056457583385,13.553591088426296,0.18451644727604388,"[[141 152]
 [ 11  10]]",0.48089171974522293,0.1092896174863388,0.06172839506172839,0.47619047619047616,0.47870957256622787,17.929751882738316,-0.010343874610130754
733,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1}",500,100,linear,0.5,1.0,"[[439 319]
 [283 804]]",0.6737127371273712,0.7276018099547511,0.715939447907391,0.7396504139834407,0.6594030434033298,11.269701063044153,0.3211140504435077,"[[152 141]
 [  5  16]]",0.535031847133758,0.17977528089887643,0.10191082802547771,0.7619047619047619,0.6403380464813911,16.05979011749878,0.07006369426751591
734,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1.5}",500,100,linear,0.5,1.5,"[[439 319]
 [289 798]]",0.6704607046070461,0.7241379310344827,0.7144136078782453,0.734130634774609,0.656643153798914,11.382022287092644,0.31517403307159486,"[[160 133]
 [  8  13]]",0.5509554140127388,0.155688622754491,0.08904109589041095,0.6190476190476191,0.5825613521859256,15.509789229747204,0.04388200233231121
735,"{'batch_size': 500, 'epochs': 100, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 2}",500,100,linear,0.5,2.0,"[[562 196]
 [397 690]]",0.678590785907859,0.6994424733907755,0.7787810383747178,0.6347746090156394,0.6880997055632287,11.101165920476072,0.36168518355376045,"[[209  84]
 [ 10  11]]",0.7006369426751592,0.1896551724137931,0.11578947368421053,0.5238095238095238,0.6185600520071509,10.339847602884523,0.08996731824628479
736,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 0.5}",500,100,softmax,0.0,0.5,"[[382 376]
 [136 951]]",0.7224932249322493,0.7879038939519469,0.7166541070082894,0.874885004599816,0.6894213941204885,9.58490740532684,0.39790889598784396,"[[134 159]
 [  7  14]]",0.4713375796178344,0.1443298969072165,0.08092485549132948,0.6666666666666666,0.5620022753128555,18.25975801766425,0.028443616029823038
737,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1}",500,100,softmax,0.0,1.0,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
738,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1.5}",500,100,softmax,0.0,1.5,"[[664  94]
 [588 499]]",0.6303523035230353,0.594047619047619,0.8414839797639123,0.45906163753449863,0.6675255417223945,12.767219871808956,0.30497266377157095,"[[244  49]
 [ 10  11]]",0.8121019108280255,0.2716049382716049,0.18333333333333332,0.5238095238095238,0.6782870144644888,6.489894864884745,0.19149864711530062
739,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 2}",500,100,softmax,0.0,2.0,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
740,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 0.5}",500,100,softmax,0.1,0.5,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
741,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1}",500,100,softmax,0.1,1.0,"[[  4 754]
 [ 96 991]]",0.5392953929539296,0.6998587570621468,0.5679083094555873,0.9116835326586936,0.4584802887567874,15.912500180019755,-0.09559804668124428,"[[  6 287]
 [  0  21]]",0.08598726114649681,0.1276595744680851,0.06818181818181818,1.0,0.5102389078498293,31.56961245159819,0.002788536018590082
742,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1.5}",500,100,softmax,0.1,1.5,"[[537 221]
 [229 858]]",0.7560975609756098,0.7922437673130195,0.7951807228915663,0.7893284268629255,0.7488858493153677,8.42418758197392,0.4969779294333193,"[[178 115]
 [  7  14]]",0.6114649681528662,0.18666666666666668,0.10852713178294573,0.6666666666666666,0.6370875995449373,13.419817432750241,0.08094621179405992
743,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 2}",500,100,softmax,0.1,2.0,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
744,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 0.5}",500,100,softmax,0.3,0.5,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
745,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1}",500,100,softmax,0.3,1.0,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
746,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 1.5}",500,100,softmax,0.3,1.5,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
747,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 2}",500,100,softmax,0.3,2.0,"[[280 478]
 [ 99 988]]",0.6872628726287263,0.7739913826870349,0.6739427012278308,0.9089236430542779,0.6391583914479833,10.801764871238536,0.30110011745002796,"[[ 92 201]
 [  4  17]]",0.3471337579617834,0.14225941422594143,0.0779816513761468,0.8095238095238095,0.5617584917926215,22.54971299375847,0.023068750948550654
748,"{'batch_size': 500, 'epochs': 100, 'activation': 'softmax', 'dropout_rate': 0.5, 'neurons': 0.5}",500,100,softmax,0.5,0.5,"[[   0  758]
 [   0 1087]]",0.589159891598916,0.7414733969986358,0.589159891598916,1.0,0.5,14.190243144820805,0.0,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.5,32.229604349541006,0.0
