,status,timestamp
0,-1,2008-07-19 11:55:00
1,-1,2008-07-19 12:32:00
2,1,2008-07-19 13:17:00
3,-1,2008-07-19 14:43:00
4,-1,2008-07-19 15:22:00
5,-1,2008-07-19 17:53:00
6,-1,2008-07-19 19:44:00
7,-1,2008-07-19 19:45:00
8,-1,2008-07-19 20:24:00
9,-1,2008-07-19 21:35:00
10,1,2008-07-19 21:57:00
11,1,2008-07-19 22:52:00
12,-1,2008-07-20 03:35:00
13,-1,2008-07-21 08:21:00
14,1,2008-07-21 11:53:00
15,-1,2008-07-22 00:03:00
16,-1,2008-07-22 02:59:00
17,-1,2008-07-22 08:41:00
18,-1,2008-07-22 11:47:00
19,-1,2008-07-22 14:00:00
20,-1,2008-07-22 15:30:00
21,-1,2008-07-23 05:15:00
22,-1,2008-07-23 19:22:00
23,1,2008-07-25 15:23:00
24,-1,2008-07-27 04:18:00
25,-1,2008-07-27 09:37:00
26,-1,2008-07-27 11:10:00
27,-1,2008-07-27 15:46:00
28,-1,2008-07-27 16:06:00
29,-1,2008-07-27 16:49:00
30,-1,2008-07-27 20:24:00
31,-1,2008-07-27 22:28:00
32,-1,2008-07-27 22:28:00
33,-1,2008-07-27 23:14:00
34,-1,2008-07-28 03:31:00
35,-1,2008-07-28 03:48:00
36,-1,2008-07-28 04:37:00
37,-1,2008-07-28 05:36:00
38,1,2008-07-28 06:45:00
39,-1,2008-07-28 08:36:00
40,1,2008-07-28 15:11:00
41,-1,2008-07-28 23:57:00
42,-1,2008-07-29 04:08:00
43,-1,2008-07-29 05:16:00
44,-1,2008-07-29 06:19:00
45,1,2008-07-29 08:23:00
46,-1,2008-07-29 11:47:00
47,-1,2008-07-29 15:41:00
48,1,2008-07-29 15:49:00
49,1,2008-07-29 17:05:00
50,1,2008-07-29 18:08:00
51,-1,2008-07-29 21:07:00
52,-1,2008-07-29 23:14:00
53,-1,2008-07-29 23:19:00
54,-1,2008-07-30 06:30:00
55,-1,2008-07-30 07:08:00
56,-1,2008-07-30 12:02:00
57,1,2008-07-30 12:29:00
58,1,2008-07-30 21:16:00
59,-1,2008-07-31 13:57:00
60,-1,2008-07-31 15:36:00
61,-1,2008-07-31 17:07:00
62,1,2008-07-31 20:18:00
63,-1,2008-08-01 02:02:00
64,1,2008-08-01 05:52:00
65,-1,2008-08-01 10:20:00
66,-1,2008-08-01 10:26:00
67,-1,2008-08-01 11:28:00
68,-1,2008-08-01 12:29:00
69,-1,2008-08-01 14:07:00
70,-1,2008-08-01 15:10:00
71,-1,2008-08-02 03:39:00
72,-1,2008-08-03 13:09:00
73,-1,2008-08-03 14:06:00
74,-1,2008-08-03 14:25:00
75,-1,2008-08-03 15:03:00
76,-1,2008-08-03 15:27:00
77,-1,2008-08-03 16:00:00
78,-1,2008-08-03 17:00:00
79,-1,2008-08-03 17:58:00
80,-1,2008-08-03 20:23:00
81,-1,2008-08-03 22:52:00
82,1,2008-08-04 00:39:00
83,-1,2008-08-04 03:45:00
84,-1,2008-08-04 03:49:00
85,-1,2008-08-04 13:19:00
86,-1,2008-08-04 14:04:00
87,-1,2008-08-04 14:31:00
88,-1,2008-08-04 15:29:00
89,-1,2008-08-04 16:15:00
90,-1,2008-08-04 16:31:00
91,-1,2008-08-04 17:11:00
92,-1,2008-08-04 17:46:00
93,-1,2008-08-04 18:24:00
94,-1,2008-08-04 19:58:00
95,-1,2008-08-04 20:32:00
96,1,2008-08-04 20:58:00
97,-1,2008-08-04 21:43:00
98,-1,2008-08-04 22:51:00
99,-1,2008-08-04 23:33:00
100,-1,2008-08-05 00:04:00
101,-1,2008-08-05 01:12:00
102,-1,2008-08-05 02:15:00
103,-1,2008-08-05 02:36:00
104,-1,2008-08-05 02:45:00
105,-1,2008-08-05 03:17:00
106,-1,2008-08-05 03:36:00
107,-1,2008-08-05 03:54:00
108,-1,2008-08-05 04:32:00
109,-1,2008-08-05 04:35:00
110,-1,2008-08-05 05:11:00
111,-1,2008-08-05 06:10:00
112,-1,2008-08-05 06:11:00
113,-1,2008-08-05 06:21:00
114,-1,2008-08-05 07:12:00
115,1,2008-08-05 07:12:00
116,-1,2008-08-05 07:48:00
117,-1,2008-08-05 08:50:00
118,-1,2008-08-05 09:48:00
119,-1,2008-08-05 14:17:00
120,-1,2008-08-05 14:45:00
121,-1,2008-08-05 15:45:00
122,-1,2008-08-05 20:04:00
123,-1,2008-08-05 21:07:00
124,-1,2008-08-05 21:22:00
125,-1,2008-08-05 23:02:00
126,-1,2008-08-05 23:06:00
127,-1,2008-08-05 23:38:00
128,-1,2008-08-06 00:04:00
129,-1,2008-08-06 02:20:00
130,-1,2008-08-06 03:22:00
131,1,2008-08-06 05:40:00
132,-1,2008-08-06 09:56:00
133,-1,2008-08-06 09:57:00
134,-1,2008-08-06 12:33:00
135,-1,2008-08-06 13:35:00
136,-1,2008-08-06 17:35:00
137,-1,2008-08-06 18:00:00
138,-1,2008-08-06 18:34:00
139,-1,2008-08-06 19:13:00
140,-1,2008-08-06 19:24:00
141,-1,2008-08-06 20:00:00
142,-1,2008-08-06 20:17:00
143,-1,2008-08-06 21:15:00
144,-1,2008-08-06 22:27:00
145,-1,2008-08-06 23:40:00
146,-1,2008-08-06 23:45:00
147,-1,2008-08-07 00:51:00
148,-1,2008-08-07 07:30:00
149,-1,2008-08-07 08:21:00
150,-1,2008-08-07 08:45:00
151,-1,2008-08-07 08:55:00
152,-1,2008-08-07 10:12:00
153,-1,2008-08-07 11:10:00
154,1,2008-08-07 11:40:00
155,-1,2008-08-08 04:55:00
156,-1,2008-08-08 07:26:00
157,1,2008-08-08 08:44:00
158,1,2008-08-08 12:37:00
