,feature_15,feature_23,feature_54,feature_57,feature_60,feature_61,feature_63,feature_64,feature_72,feature_73,feature_74,feature_88,feature_100,feature_112,feature_116,feature_118,feature_130,feature_131,feature_133,feature_217,feature_275,feature_346,feature_355,feature_361,feature_391,feature_425,feature_456,feature_478,feature_525,feature_563,feature_589
0,6.8827,2713.25,4.645,0.9202000000000001,0.6990999999999988,363.0018,121.4118,5.9553,90.6173,120.64426386404705,475.14508270719256,0.9888,0.03910000000000002,232.13534,785.5426,59.26619999999999,0.0,0.8203,2.3766,0.076,149.7834,11.969404334878332,0.0413,0.0007,0.9878,3.4550999999999994,4.9135,6.0266,6.3493,267.07,0.0059
1,12.7017,2909.5,4.553,0.9304000000000001,-1.4172999999999991,349.5327,118.1482,9.699,109.55330000000001,153.41014,467.40768,0.9881,-0.028799999999999996,232.20600000000002,672.3211,58.7063,0.2837999999999999,0.8291000000000001,2.3805,0.0844,99.4348,6.77062,0.0474,0.0007,0.5209,1.6049999999999998,2.9724000000000004,4.8218,2.9979999999999998,250.084,0.0081
2,6.4832,2909.75,4.586,0.9247000000000001,10.235500000000004,356.8936,125.75549999999998,13.0423,109.25380000000001,159.7443,465.7885,0.9903,-0.0791,231.71972,751.7695,55.85040000000001,-0.2837999999999999,0.5438,2.3244,0.0925,50.668099999999995,5.6968,0.0496,0.0007,0.8375,4.499299999999999,4.964,6.1589,5.8047,264.272,0.0091
3,9.8316,3019.5000000000005,4.599,0.9354,9.851799999999997,346.5818,99.04639999999999,20.3227,112.0173,145.69374,466.18969999999996,0.9866,-0.0242,231.08244000000002,705.2765,58.283100000000005,0.04729999999999975,0.8048000000000001,2.3725,0.0794,75.8338,5.94114,0.0361,0.0005,0.7167000000000001,2.455,4.4921,5.0612,4.3565,268.69079999999997,0.0038
4,9.8304,3063.2499999999995,4.617,0.9290000000000002,1.0335999999999992,355.1582,116.0864,9.9475,74.0842,149.63832,466.33404,0.9685,-0.007400000000000006,232.72047999999998,719.8048999999999,58.0262,0.4258000000000001,0.7611,2.3401,0.058,75.0458,6.13324,0.026,0.0022,0.6728,2.2014,4.5447,7.4828,3.5779,256.05440000000004,0.0043
5,7.734400000000001,2687.75,4.627,0.9228,3.680900000000001,363.7245,111.31,7.534,158.4831,157.4775,467.2697,0.9907999999999999,0.048399999999999985,231.25462,711.4945,60.9507,1.6550000000000002,0.8137,2.2797,0.0368,204.1999,2.687,0.0169,0.0003,0.8003,5.3008,2.1367,4.1813,4.510000000000002,264.272,0.0097
6,8.5389,2785.0,4.555,0.9318999999999998,2.8109000000000006,346.3655,115.8564,10.9182,96.2319,149.95247999999998,466.6197,0.9918,0.03159999999999999,231.1908,777.1425,58.9076,0.0,0.8253000000000001,2.2864,0.08839999999999999,106.06609999999999,5.2469,0.0464,0.0003,0.5143,1.6839,3.601,5.9339,2.6315,264.272,0.0017
7,7.9638,2412.0,4.604,0.9347,1.5036000000000007,350.9709,123.9155,8.7662,99.3058,157.6115,465.0222,0.9924999999999999,-0.027899999999999994,232.3029,741.9427,58.282,2.4579999999999997,0.8345999999999999,2.3080999999999996,0.079,162.0382,5.383,0.0368,0.0004,1.3295,3.0325,3.4455000000000005,3.5466,7.7648,264.272,0.0054
8,9.5157,2701.75,4.492200237891054,0.9139,23.824499999999997,364.5364,115.6273,11.3019,84.7681,140.6972,475.14508270719256,0.988,0.12179999999999998,232.63576000000003,718.5777,58.4808,-0.1891999999999997,0.8194000000000001,2.2592,0.034899999999999994,97.3868,11.969404334878332,0.015399999999999997,0.0046,1.2356,2.0261,3.1182,9.1221,7.087,267.064,0.012801598532168654
9,9.8858,2573.25,4.513,0.9294999999999999,1.5744999999999998,345.4982,120.8682,8.4647,130.5133,154.25686,465.10859999999997,0.9914,0.023299999999999984,233.7235,826.7217,59.9764,-0.14189999999999994,0.8712,2.2877,0.09691999999999999,109.2936,5.817760000000001,0.050660000000000004,0.0006,0.7389000000000001,1.6239999999999999,3.9776999999999996,3.3970999999999996,4.0272,264.272,0.0098
