,No.,gamma,cost,cf_matrix,accuracy,f1,precision,recall,mcc,type_1_error_FP,type_2_error_FN,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,mcc_train,type_1_error_FP_train,type_2_error_FN_train,auc_train
10,11,0.1,0.01,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,0.5
11,12,0.1,1.0,"[[228  65]
 [  8  13]]",0.767515923566879,0.2626262626262626,0.16666666666666666,0.6190476190476191,0.22964365009855836,65,8,0.6986023078173249,8.029881053061919,0.17576411362819122,"[[572 183]
 [184 834]]",0.7930062041737168,0.8196560196560198,0.8200589970501475,0.8192534381139489,0.5767710345339148,183,184,0.788434666076842
12,13,0.1,100.0,"[[185 108]
 [  4  17]]",0.643312101910828,0.23287671232876714,0.136,0.8095238095238095,0.22501964108144357,108,4,0.7204615634649765,12.31983857564477,0.1336650736562054,"[[633 122]
 [ 83 935]]",0.8843767625493514,0.9012048192771084,0.8845789971617786,0.918467583497053,0.7627449569599851,122,83,0.8784390897617715
13,14,0.1,1000.0,"[[132 161]
 [  4  17]]",0.4745222929936306,0.1708542713567839,0.09550561797752809,0.8095238095238095,0.13109830292883135,161,4,0.6300178774581505,18.149767007473006,0.058171241592437806,"[[656  99]
 [ 32 986]]",0.9261139311900733,0.9377080361388492,0.9087557603686636,0.9685658153241651,0.8497515610570757,99,32,0.9187199937547978
14,15,0.1,10000.0,"[[217  76]
 [  9  12]]",0.7292993630573248,0.22018348623853207,0.13636363636363635,0.5714285714285714,0.17356502512562919,76,9,0.6560214529497805,9.349862302458927,0.1257779233540779,"[[ 706   49]
 [   4 1014]]",0.970107163000564,0.9745314752522826,0.9539040451552211,0.9960707269155207,0.9396812559996034,49,4,0.9655850323319326
15,16,1.0,0.01,"[[  0 293]
 [  0  21]]",0.06687898089171974,0.1253731343283582,0.06687898089171974,1.0,0.0,293,0,0.5,32.229604349541006,0.0,"[[   0  755]
 [   0 1018]]",0.5741680767061478,0.7294876388391257,0.5741680767061478,1.0,0.0,755,0,0.5
16,17,1.0,1.0,"[[238  55]
 [  9  12]]",0.7961783439490446,0.2727272727272727,0.1791044776119403,0.5714285714285714,0.23397348914515137,55,9,0.6918576304241832,7.039890659659059,0.1902651301474736,"[[639 116]
 [100 918]]",0.8781725888324873,0.8947368421052632,0.8878143133462283,0.9017681728880157,0.7503078701456046,116,100,0.8740628943910278
17,18,1.0,100.0,"[[262  31]
 [ 15   6]]",0.8535031847133758,0.20689655172413793,0.16216216216216217,0.2857142857142857,0.13940020639277112,31,15,0.5899561189663578,5.059899686898815,0.13290911273862405,"[[ 736   19]
 [   0 1018]]",0.9892836999435984,0.9907542579075426,0.9816779170684667,1.0,0.9782501927857141,19,0,0.9874172185430464
18,19,1.0,1000.0,"[[272  21]
 [ 16   5]]",0.8821656050955414,0.21276595744680848,0.19230769230769232,0.23809523809523808,0.15085981862220912,21,16,0.5832114415732164,4.069909293495954,0.1498609688277477,"[[ 754    1]
 [   0 1018]]",0.9994359842075579,0.9995090819833087,0.9990186457311089,1.0,0.9988470564740276,1,0,0.9993377483443708
19,20,1.0,10000.0,"[[272  21]
 [ 16   5]]",0.8821656050955414,0.21276595744680848,0.19230769230769232,0.23809523809523808,0.15085981862220912,21,16,0.5832114415732164,4.069909293495954,0.1498609688277477,"[[ 755    0]
 [   0 1018]]",1.0,1.0,1.0,1.0,1.0,0,0,1.0
